N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-29T08:40:44.865093,109304,5620,2244,5620,669,5620,80,5620,4,5620,0,10046,2,1.0268585000012536
3,0,,2026-07-29T08:40:45.893169,109115,5575,2157,5575,643,5575,82,5575,7,5575,1,10090,2,1.0278546000190545
3,0,,2026-07-29T08:40:46.922004,109215,5645,2292,5645,662,5645,90,5645,5,5645,1,10170,0,1.0285907000070438
3,0,,2026-07-29T08:40:47.950632,109580,5840,2344,5840,720,5840,76,5840,5,5840,2,10425,3,1.0282469000085257
3,0,,2026-07-29T08:40:48.979140,109495,5803,2385,5803,647,5803,74,5803,6,5803,1,9876,6,1.028165000025183
3,0,,2026-07-29T08:40:50.008537,109730,5806,2371,5806,688,5806,89,5806,5,5806,0,10047,4,1.0289933999883942
3,0,,2026-07-29T08:40:51.036359,109267,5713,2301,5713,679,5713,89,5713,4,5713,3,10092,2,1.0274868000124115
3,0,,2026-07-29T08:40:52.063069,109256,5760,2323,5760,672,5760,86,5760,4,5760,4,10059,4,1.0264046000083908
3,0,,2026-07-29T08:40:53.092079,109195,5814,2337,5814,666,5814,78,5814,11,5814,1,10148,1,1.0287289999832865
3,0,,2026-07-29T08:40:54.121141,109070,5857,2336,5857,664,5857,75,5857,5,5857,0,10067,1,1.0286772999970708
3,0,,2026-07-29T08:40:55.149287,109865,5689,2211,5689,678,5689,88,5689,7,5689,0,10163,4,1.0277752999973018
3,0,,2026-07-29T08:40:56.176272,109531,5802,2319,5802,689,5802,81,5802,13,5802,0,9997,2,1.0267280999978539
3,0,,2026-07-29T08:40:57.204412,109606,5834,2330,5834,723,5834,71,5834,3,5834,0,10131,0,1.0278308999841101
3,0,,2026-07-29T08:40:58.232908,109341,5811,2335,5811,674,5811,72,5811,2,5811,3,10116,0,1.0281795999908354
3,0,,2026-07-29T08:40:59.260920,109375,5798,2278,5798,642,5798,93,5798,4,5798,2,10067,3,1.0277494000038132
3,0,,2026-07-29T08:41:00.289503,109404,5802,2265,5802,756,5802,80,5802,5,5802,2,10038,0,1.028218099992955
3,0,,2026-07-29T08:41:01.317867,110152,5732,2273,5732,676,5732,85,5732,4,5732,1,10359,2,1.028066700004274
3,0,,2026-07-29T08:41:02.346800,109311,5701,2297,5701,680,5701,82,5701,6,5701,0,10059,2,1.0285822000005282
3,0,,2026-07-29T08:41:03.375167,110001,5725,2242,5725,645,5725,87,5725,4,5725,2,10195,0,1.028020199999446
3,0,,2026-07-29T08:41:04.402322,109514,5636,2262,5636,689,5636,94,5636,7,5636,2,10103,1,1.026952699990943
3,0,,2026-07-29T08:41:05.430499,109514,5669,2258,5669,677,5669,88,5669,4,5669,1,10069,5,1.0279137000034098
3,0,,2026-07-29T08:41:06.458290,109967,5872,2335,5872,697,5872,87,5872,7,5872,2,10078,4,1.027441899990663
3,0,,2026-07-29T08:41:07.486752,109596,5924,2335,5924,731,5924,101,5924,6,5924,2,10273,2,1.0280844999942929
3,0,,2026-07-29T08:41:08.516444,108839,5740,2360,5740,671,5740,85,5740,6,5740,2,10156,0,1.0293284999788739
3,0,,2026-07-29T08:41:09.544239,109718,5908,2346,5908,671,5908,93,5908,5,5908,1,10159,0,1.0274108000157867
3,0,,2026-07-29T08:41:10.572973,109589,5758,2270,5758,712,5758,89,5758,5,5758,0,9991,6,1.0283863999939058
3,0,,2026-07-29T08:41:11.600871,109993,5705,2230,5705,704,5705,95,5705,4,5705,1,10104,2,1.027544200012926
3,0,,2026-07-29T08:41:12.628970,109064,5674,2271,5674,694,5674,78,5674,3,5674,2,10221,0,1.0277929999865592
3,0,,2026-07-29T08:41:13.657266,109360,5769,2298,5769,638,5769,90,5769,5,5769,0,10264,1,1.027987800014671
3,0,,2026-07-29T08:41:14.686449,109355,5828,2302,5828,671,5828,79,5828,7,5828,0,10234,1,1.0288258000218775
3,0,,2026-07-29T08:41:15.714809,109817,5891,2396,5891,701,5891,104,5891,7,5891,1,10140,4,1.0280060999793932
3,0,,2026-07-29T08:41:16.743702,109359,5743,2303,5743,661,5743,97,5743,4,5743,1,10191,2,1.0285540000186302
3,0,,2026-07-29T08:41:17.772841,109424,5805,2329,5805,688,5805,92,5805,7,5805,0,10390,3,1.028779200016288
3,0,,2026-07-29T08:41:18.799856,109188,5839,2323,5839,703,5839,75,5839,2,5839,1,10125,1,1.0267408000072464
3,0,,2026-07-29T08:41:19.827862,109436,5919,2317,5919,723,5919,93,5919,2,5919,0,10051,1,1.0277383000066038
3,0,,2026-07-29T08:41:20.854484,109359,5743,2355,5743,690,5743,63,5743,1,5743,2,10417,6,1.02649669998209
3,0,,2026-07-29T08:41:21.880570,109255,5746,2328,5746,713,5746,78,5746,2,5746,1,10220,2,1.025970300019253
3,0,,2026-07-29T08:41:22.907296,109244,5674,2259,5674,665,5674,88,5674,9,5674,2,10057,5,1.0265758000023197
3,0,,2026-07-29T08:41:23.935987,110056,5817,2290,5817,658,5817,81,5817,5,5817,1,10156,0,1.028402099997038
3,0,,2026-07-29T08:41:24.964116,109692,5775,2306,5775,694,5775,78,5775,7,5775,1,10277,3,1.0277958000078797
3,0,,2026-07-29T08:41:25.992183,108861,5670,2297,5670,651,5670,86,5670,5,5670,0,10166,1,1.02763940001023
3,0,,2026-07-29T08:41:27.021845,109254,5585,2154,5585,679,5585,83,5585,8,5585,0,10110,3,1.029401699983282
3,0,,2026-07-29T08:41:28.049814,109286,5742,2313,5742,669,5742,94,5742,1,5742,2,10061,3,1.0275540000002366
3,0,,2026-07-29T08:41:29.078689,109189,5788,2401,5788,655,5788,89,5788,2,5788,1,10194,0,1.0285999000188895
3,0,,2026-07-29T08:41:30.107979,109762,5820,2317,5820,693,5820,85,5820,3,5820,0,10388,1,1.0289363999909256
3,0,,2026-07-29T08:41:31.136024,109434,5749,2302,5749,646,5749,84,5749,6,5749,1,10004,4,1.0277375000005122
3,0,,2026-07-29T08:41:32.164039,109309,5818,2358,5818,697,5818,78,5818,4,5818,1,10222,4,1.0276700999820605
