N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-19T18:22:04.277157,84238,9917,3028,9917,993,9917,26,9917,5,18907,4,1.028511399999843
4,0,,2026-07-19T18:22:05.304003,85160,10112,2981,10112,993,10112,18,10112,4,18968,11,1.0265250000084052
4,0,,2026-07-19T18:22:06.331502,84708,10166,3011,10166,1032,10166,29,10166,7,18830,4,1.0273546999960672
4,0,,2026-07-19T18:22:07.359181,84814,10017,2994,10017,980,10017,22,10017,2,18749,5,1.0274102999974275
4,0,,2026-07-19T18:22:08.386921,84010,10259,3010,10259,982,10259,21,10259,0,18864,9,1.0272822999977507
4,0,,2026-07-19T18:22:09.415995,85123,10177,3042,10177,991,10177,15,10177,6,18925,11,1.0284314999880735
4,0,,2026-07-19T18:22:10.444396,84811,9887,2990,9887,971,9887,16,9887,6,19175,3,1.028070000000298
4,0,,2026-07-19T18:22:11.470580,84860,10041,3032,10041,988,10041,29,10041,9,18998,7,1.02593170000182
4,0,,2026-07-19T18:22:12.498743,84415,10065,3063,10065,1049,10065,17,10065,4,18983,6,1.0280121999967378
4,0,,2026-07-19T18:22:13.527530,84495,9970,2964,9970,994,9970,17,9970,7,18599,5,1.028462700007367
4,0,,2026-07-19T18:22:14.556220,84616,10112,2987,10112,1047,10112,19,10112,1,18814,8,1.0283065999974497
4,0,,2026-07-19T18:22:15.584703,84567,10161,3066,10161,971,10161,26,10161,6,19006,6,1.0281401999964146
4,0,,2026-07-19T18:22:16.612852,84633,10119,2938,10119,1000,10119,26,10119,3,19002,6,1.027736800009734
4,0,,2026-07-19T18:22:17.642117,84223,9926,2946,9926,975,9926,30,9926,3,18722,7,1.028936499991687
4,0,,2026-07-19T18:22:18.670487,84554,10090,3001,10090,999,10090,24,10090,1,18938,8,1.0279810000065481
4,0,,2026-07-19T18:22:19.699873,85020,10117,3005,10117,988,10117,26,10117,2,18690,4,1.0289970000012545
4,0,,2026-07-19T18:22:20.729443,84923,10163,3090,10163,1041,10163,22,10163,5,18617,9,1.0291310000029625
4,0,,2026-07-19T18:22:21.756939,83874,10055,3025,10055,966,10055,30,10055,3,18713,7,1.0271986000007018
4,0,,2026-07-19T18:22:22.784241,84708,10076,2988,10076,1036,10076,24,10076,3,18490,4,1.02707699999155
4,0,,2026-07-19T18:22:23.812308,85021,10365,2987,10365,1101,10365,27,10365,5,18858,4,1.0277197000104934
4,0,,2026-07-19T18:22:24.841564,85032,10091,3077,10091,959,10091,24,10091,4,18895,8,1.028899700002512
4,0,,2026-07-19T18:22:25.870766,84362,9999,2983,9999,1045,9999,18,9999,4,18874,7,1.0288641000079224
4,0,,2026-07-19T18:22:26.898735,84620,10046,3029,10046,1016,10046,34,10046,3,18926,8,1.0275375000055647
4,0,,2026-07-19T18:22:27.926784,84437,10148,3103,10148,956,10148,18,10148,7,19026,6,1.0276875999988988
4,0,,2026-07-19T18:22:28.954873,83801,10086,2920,10086,975,10086,19,10086,3,18845,2,1.0277896000043256
4,0,,2026-07-19T18:22:29.984245,84858,10120,3000,10120,1054,10120,26,10120,6,18797,9,1.029015200008871
4,0,,2026-07-19T18:22:31.013502,84745,9913,2981,9913,1000,9913,26,9913,4,18706,10,1.029097799997544
4,0,,2026-07-19T18:22:32.041922,84309,10050,3041,10050,995,10050,31,10050,5,18793,4,1.0281660000036936
4,0,,2026-07-19T18:22:33.069500,85342,10059,2976,10059,998,10059,25,10059,6,18994,6,1.0272455000085756
4,0,,2026-07-19T18:22:34.097180,84731,10017,2981,10017,1014,10017,23,10017,1,18790,7,1.0274441999936244
4,0,,2026-07-19T18:22:35.125803,84888,10088,2990,10088,1005,10088,22,10088,6,18779,7,1.0283278999995673
4,0,,2026-07-19T18:22:36.153973,84437,9934,2952,9934,1059,9934,21,9934,5,18834,11,1.0278285999957006
4,0,,2026-07-19T18:22:37.182910,84924,10210,3137,10210,973,10210,22,10210,4,18923,7,1.0286388999957126
4,0,,2026-07-19T18:22:38.211512,84769,10048,3046,10048,985,10048,28,10048,5,18826,9,1.0282977000024403
4,0,,2026-07-19T18:22:39.239685,84523,10161,3045,10161,1001,10161,18,10161,4,18823,9,1.0278103000018746
4,0,,2026-07-19T18:22:40.267853,84151,10173,3012,10173,975,10173,24,10173,6,18756,6,1.0277688000060152
4,0,,2026-07-19T18:22:41.296333,85060,9985,2990,9985,1008,9985,16,9985,4,18842,6,1.028080799995223
4,0,,2026-07-19T18:22:42.325421,84245,10062,2985,10062,977,10062,27,10062,2,18614,4,1.0286839000036707
4,0,,2026-07-19T18:22:43.353983,84838,10163,3061,10163,999,10163,25,10163,7,18830,7,1.0281538999988697
4,0,,2026-07-19T18:22:44.380634,84709,10146,3106,10146,1038,10146,26,10146,3,18618,9,1.0262933000049088
4,0,,2026-07-19T18:22:45.408350,84163,10210,3082,10210,992,10210,14,10210,7,18657,7,1.0274570000037784
4,0,,2026-07-19T18:22:46.436912,85272,10142,3132,10142,984,10142,18,10142,3,18951,6,1.0281666000082623
4,0,,2026-07-19T18:22:47.465699,84195,9893,2944,9893,953,9893,25,9893,5,18900,12,1.0283668000047328
