N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch12,coinc_ch12,singles_ch7,coinc_ch7,int_time
6,0,,2026-07-30T19:12:33.817049,1021003,41444,12670,41444,7531,41444,2630,41444,582,41444,65,41444,16,108651,79,10.027520700008608
6,0,,2026-07-30T19:12:43.847288,1020102,41256,12884,41256,7298,41256,2622,41256,566,41256,74,41256,14,109753,69,10.02989190001972
6,0,,2026-07-30T19:12:53.876588,1019731,41245,12843,41245,7438,41245,2690,41245,548,41245,80,41245,16,109094,52,10.028901999990921
6,0,,2026-07-30T19:13:03.905398,1022102,41098,12803,41098,7469,41098,2551,41098,554,41098,82,41098,14,108899,54,10.028414500004146
6,0,,2026-07-30T19:13:13.933615,1018902,41123,12692,41123,7457,41123,2524,41123,580,41123,92,41123,12,109251,77,10.027924599999096
6,0,,2026-07-30T19:13:23.962080,1019606,40976,12781,40976,7485,40976,2614,40976,513,40976,92,40976,14,109208,76,10.028195499966387
6,0,,2026-07-30T19:13:33.992078,1019950,40892,12743,40892,7466,40892,2546,40892,503,40892,77,40892,13,109473,68,10.029677100013942
6,0,,2026-07-30T19:13:44.020916,1017946,40824,12518,40824,7416,40824,2637,40824,549,40825,89,40825,12,109572,53,10.02840589999687
6,0,,2026-07-30T19:13:54.049677,1020003,40837,12740,40837,7309,40837,2579,40837,554,40836,88,40836,17,109058,65,10.028337800002191
6,0,,2026-07-30T19:14:04.079161,1019021,41004,12555,41004,7310,41004,2653,41004,570,41004,89,41004,25,109228,71,10.029006900032982
6,0,,2026-07-30T19:14:14.109618,1019268,40775,12516,40775,7481,40775,2537,40775,579,40775,98,40775,21,108546,72,10.030004100000951
6,0,,2026-07-30T19:14:24.138451,1018585,41060,12552,41060,7513,41060,2685,41060,537,41060,75,41060,21,108695,82,10.02835929999128
6,0,,2026-07-30T19:14:34.168054,1019026,41261,12675,41261,7449,41261,2689,41261,575,41261,83,41261,15,109079,52,10.029285900003742
6,0,,2026-07-30T19:14:44.196647,1019724,40733,12472,40733,7542,40733,2627,40733,523,40733,76,40733,14,108892,75,10.028403299977072
6,0,,2026-07-30T19:14:54.224688,1021272,40780,12618,40780,7367,40780,2566,40780,586,40780,90,40780,18,109701,79,10.027722700033337
6,0,,2026-07-30T19:15:04.253952,1020024,40969,12680,40969,7452,40969,2682,40969,563,40969,82,40969,5,108683,60,10.02897360001225
6,0,,2026-07-30T19:15:14.285216,1019940,41377,12807,41377,7469,41377,2623,41377,584,41377,89,41377,17,108715,66,10.030883900006302
6,0,,2026-07-30T19:15:24.316132,1021755,41094,12698,41094,7461,41094,2540,41094,523,41094,78,41094,14,108967,64,10.030465100018773
6,1,,2026-07-30T19:15:36.368709,1018841,55617,24169,55617,8753,55617,2238,55617,359,55617,35,55617,10,107963,54,10.029918999993242
6,1,,2026-07-30T19:15:46.397941,1020794,56215,24265,56215,8810,56215,2178,56215,365,56215,51,56215,10,108412,79,10.028959699964616
6,1,,2026-07-30T19:15:56.429084,1022763,56274,24563,56274,8806,56274,2291,56274,339,56274,41,56274,21,108563,69,10.030840799969155
6,1,,2026-07-30T19:16:06.459065,1022312,55785,24189,55785,8825,55785,2202,55785,351,55785,49,55785,4,108690,54,10.029540000017732
6,1,,2026-07-30T19:16:16.490139,1019280,55742,23966,55742,8871,55742,2160,55742,372,55742,65,55742,13,107743,78,10.030722499999683
6,1,,2026-07-30T19:16:26.518411,1022394,56152,24490,56152,8749,56152,2269,56152,353,56152,49,56152,8,108820,54,10.027863299997989
6,1,,2026-07-30T19:16:36.545565,1022425,56030,24210,56030,8835,56030,2192,56030,351,56030,54,56030,11,108841,64,10.02689510001801
6,1,,2026-07-30T19:16:46.576964,1021573,56245,24288,56245,8868,56245,2273,56245,344,56245,44,56245,7,107686,77,10.031109000032302
6,1,,2026-07-30T19:16:56.607359,1022069,56324,24427,56324,8815,56324,2264,56324,348,56324,41,56324,9,108528,65,10.03000210004393
6,1,,2026-07-30T19:17:06.637585,1023796,56260,24294,56260,8832,56260,2309,56260,397,56260,54,56260,15,108783,72,10.029817899980117
6,1,,2026-07-30T19:17:16.667383,1020682,55854,23992,55854,8713,55854,2267,55854,362,55854,43,55854,9,108315,72,10.029377500002738
6,1,,2026-07-30T19:17:26.697262,1021983,55613,24156,55613,8684,55613,2232,55613,335,55613,49,55613,8,108383,74,10.029497499985155
6,1,,2026-07-30T19:17:36.724640,1023560,56186,24447,56186,8867,56186,2207,56186,344,56186,54,56186,8,109176,58,10.026977600005921
6,1,,2026-07-30T19:17:46.753203,1021686,55871,24023,55871,8865,55871,2240,55871,384,55871,53,55871,14,108226,65,10.028381299984176
6,1,,2026-07-30T19:17:56.783015,1024136,56248,24423,56248,8782,56248,2204,56248,375,56248,60,56248,15,109418,68,10.029513499990571
6,1,,2026-07-30T19:18:06.812904,1023632,56066,24326,56066,8820,56066,2168,56066,375,56066,42,56066,21,108560,71,10.029506099992432
6,1,,2026-07-30T19:18:16.843086,1022019,56089,24096,56089,8763,56089,2235,56089,336,56089,56,56089,18,107721,49,10.029849999991711
6,1,,2026-07-30T19:18:26.873430,1019777,55923,24038,55923,8897,55923,2252,55923,399,55923,45,55923,14,107697,65,10.02993780001998
6,2,,2026-07-30T19:18:51.229395,1022260,63804,30611,63804,9252,63804,1917,63804,249,63804,26,63804,12,108131,64,10.02744239999447
6,2,,2026-07-30T19:19:01.257537,1022845,63092,30123,63092,8938,63092,2005,63092,288,63092,30,63092,20,107940,79,10.027863199997228
6,2,,2026-07-30T19:19:11.288815,1022916,63097,30179,63097,9143,63097,1987,63097,253,63097,26,63097,22,108341,71,10.030852299998514
6,2,,2026-07-30T19:19:21.318362,1024676,63572,30487,63572,9215,63572,2020,63572,321,63572,23,63572,18,108454,59,10.029104400018696
6,2,,2026-07-30T19:19:31.347943,1022348,63035,30333,63035,9118,63035,1946,63035,278,63035,23,63035,10,108182,77,10.029236400034279
6,2,,2026-07-30T19:19:41.376486,1020593,63154,30324,63154,9013,63154,1940,63154,259,63154,31,63154,13,108199,74,10.028240899962839
6,2,,2026-07-30T19:19:51.405198,1021284,63498,30239,63498,9107,63498,1976,63498,313,63498,34,63498,9,107803,69,10.028413199994247
6,2,,2026-07-30T19:20:01.434281,1022000,63328,30040,63328,9139,63328,2011,63328,294,63328,28,63328,18,108309,69,10.028830000024755
6,2,,2026-07-30T19:20:11.464077,1021522,63409,30059,63409,9026,63409,2065,63409,296,63409,33,63409,10,107912,74,10.029436699987855
6,2,,2026-07-30T19:20:21.505776,1024400,63560,30313,63560,9215,63560,1929,63560,285,63560,37,63560,14,107604,51,10.041358800022863
