N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
5,0,,2026-07-30T16:48:36.648771,104734,3508,1018,3508,602,3508,204,3508,59,3508,7,9759,6,1.0280161000264343
5,0,,2026-07-30T16:48:37.679054,105450,3587,1023,3587,632,3587,214,3587,38,3587,7,9459,6,1.0300436000106856
5,0,,2026-07-30T16:48:38.710769,105164,3507,963,3507,608,3507,198,3507,35,3507,5,9536,4,1.0314047999854665
5,0,,2026-07-30T16:48:39.741692,105899,3563,1003,3563,603,3563,223,3563,44,3563,12,9628,5,1.030557599995518
5,0,,2026-07-30T16:48:40.770979,104876,3626,1038,3626,616,3626,214,3626,33,3626,4,9667,7,1.028894000017317
5,0,,2026-07-30T16:48:41.800266,105453,3592,958,3592,661,3592,228,3592,46,3592,4,9744,6,1.0290819999936502
5,0,,2026-07-30T16:48:42.829135,104897,3634,1047,3634,636,3634,205,3634,39,3634,10,9654,3,1.0283880999777466
5,0,,2026-07-30T16:48:43.857020,104966,3604,956,3604,648,3604,175,3604,48,3604,5,9548,5,1.0275955000251997
5,0,,2026-07-30T16:48:44.885665,104945,3660,957,3660,659,3660,200,3660,48,3660,6,9506,3,1.0282133000146132
5,0,,2026-07-30T16:48:45.914409,105161,3524,964,3524,648,3524,194,3524,42,3524,7,9634,5,1.0283318999863695
5,0,,2026-07-30T16:48:46.942480,104695,3611,999,3611,589,3611,205,3611,45,3611,5,9581,9,1.027662300009979
5,0,,2026-07-30T16:48:47.973040,104856,3598,1004,3598,591,3598,226,3598,36,3598,10,9450,4,1.030066999985138
5,0,,2026-07-30T16:48:49.003039,104955,3633,972,3633,590,3633,219,3633,38,3633,16,9401,8,1.0296254999993835
5,0,,2026-07-30T16:48:50.032183,105239,3600,1019,3600,626,3600,215,3600,33,3600,2,9553,8,1.0286260999855585
5,0,,2026-07-30T16:48:51.061842,105444,3589,975,3589,629,3589,226,3589,45,3589,7,9500,9,1.029198300006101
5,0,,2026-07-30T16:48:52.090631,104936,3456,947,3456,606,3456,208,3456,45,3456,4,9609,7,1.0282983999932185
5,0,,2026-07-30T16:48:53.119480,104616,3566,973,3566,633,3566,196,3566,49,3566,1,9664,5,1.0285261999815702
5,0,,2026-07-30T16:48:54.147922,104616,3560,1001,3560,616,3560,208,3560,40,3560,7,9772,4,1.0280077999923378
5,0,,2026-07-30T16:48:55.176427,104787,3541,999,3541,651,3541,203,3541,35,3541,2,9439,7,1.028029000008246
5,0,,2026-07-30T16:48:56.205001,105037,3637,941,3637,660,3637,245,3637,55,3637,9,9609,3,1.0282063000195194
5,0,,2026-07-30T16:48:57.233735,104374,3593,1007,3593,594,3593,200,3593,25,3593,3,9396,10,1.028467099997215
5,0,,2026-07-30T16:48:58.262986,105545,3652,973,3652,661,3652,215,3652,35,3652,7,9636,4,1.0289464000088628
5,0,,2026-07-30T16:48:59.292085,104812,3512,1000,3512,595,3512,243,3512,37,3512,3,9821,5,1.028681299998425
5,0,,2026-07-30T16:49:00.321329,104919,3639,977,3639,628,3639,204,3639,48,3639,8,9660,6,1.0287458000238985
5,0,,2026-07-30T16:49:01.350492,104318,3566,1002,3566,628,3566,193,3566,42,3566,7,9575,4,1.028664600016782
5,0,,2026-07-30T16:49:02.379084,105031,3522,946,3522,649,3522,205,3522,41,3522,8,9625,4,1.0281876999943051
5,0,,2026-07-30T16:49:03.408803,105122,3627,949,3627,647,3627,212,3627,46,3627,6,9558,6,1.0293509000039194
5,0,,2026-07-30T16:49:04.438533,105187,3673,1045,3673,659,3673,208,3673,34,3673,5,9510,6,1.0293338999908883
5,0,,2026-07-30T16:49:05.468742,105089,3566,909,3566,669,3566,206,3566,35,3566,5,9638,9,1.0299134000088088
5,0,,2026-07-30T16:49:06.497389,105257,3604,996,3604,621,3604,200,3604,40,3604,12,9665,6,1.0282017000135966
5,0,,2026-07-30T16:49:07.527120,104693,3534,943,3534,602,3534,174,3534,54,3534,5,9641,6,1.0293685000215191
5,0,,2026-07-30T16:49:08.556402,104469,3562,935,3562,671,3562,217,3562,34,3562,5,9628,5,1.0288140999909956
5,0,,2026-07-30T16:49:09.585204,105763,3660,1041,3660,629,3660,200,3660,33,3660,11,9599,9,1.028376100002788
5,0,,2026-07-30T16:49:10.613609,105236,3473,974,3473,577,3473,202,3473,40,3473,7,9576,7,1.0279593000013847
5,0,,2026-07-30T16:49:11.641380,105270,3535,1018,3535,578,3535,203,3535,40,3535,3,9627,5,1.0273323000001255
5,0,,2026-07-30T16:49:12.670457,104996,3572,964,3572,634,3572,216,3572,46,3572,7,9547,5,1.0287906000157818
5,0,,2026-07-30T16:49:13.700294,105121,3532,969,3532,606,3532,216,3532,40,3532,5,9776,3,1.029308500001207
5,0,,2026-07-30T16:49:14.730246,105008,3585,992,3585,620,3585,239,3585,41,3585,5,9603,6,1.0294864999887068
5,0,,2026-07-30T16:49:15.759589,105570,3636,1018,3636,624,3636,205,3636,37,3636,9,9564,8,1.0288439000141807
5,0,,2026-07-30T16:49:16.789901,105200,3563,976,3563,590,3563,224,3563,49,3563,5,9725,7,1.0299295999866445
5,0,,2026-07-30T16:49:17.817849,104693,3377,923,3377,585,3377,197,3377,45,3377,2,9539,6,1.0275879999971949
5,0,,2026-07-30T16:49:18.844113,104428,3544,973,3544,601,3544,202,3544,43,3544,6,9490,5,1.025929700001143
5,0,,2026-07-30T16:49:19.872789,104776,3637,982,3637,629,3637,221,3637,41,3637,2,9534,4,1.0284231000114232
5,0,,2026-07-30T16:49:20.901073,105310,3479,946,3479,605,3479,200,3479,43,3479,6,9508,5,1.02809890001663
5,0,,2026-07-30T16:49:21.930520,105206,3522,988,3522,603,3522,219,3522,45,3522,2,9673,2,1.0290643000043929
5,0,,2026-07-30T16:49:22.960482,105535,3493,955,3493,567,3493,220,3493,45,3493,6,9425,7,1.0293185999908019
5,0,,2026-07-30T16:49:23.991054,105040,3599,987,3599,622,3599,191,3599,48,3599,9,9639,3,1.0302381000074092
5,0,,2026-07-30T16:49:25.021273,105347,3487,968,3487,627,3487,195,3487,47,3487,3,9740,7,1.0298131000017747
5,0,,2026-07-30T16:49:26.051088,104671,3651,1024,3651,615,3651,224,3651,36,3651,7,9512,3,1.0293780000065453
5,0,,2026-07-30T16:49:27.079932,105354,3568,982,3568,597,3568,216,3568,42,3568,8,9678,5,1.0283606000011787
5,0,,2026-07-30T16:49:28.108315,105637,3665,984,3665,656,3665,211,3665,35,3665,4,9527,3,1.0280612999922596
5,0,,2026-07-30T16:49:29.137494,105168,3496,981,3496,627,3496,185,3496,37,3496,8,9618,7,1.0288073999981862
5,0,,2026-07-30T16:49:30.167414,105506,3498,919,3498,595,3498,214,3498,58,3498,4,9585,3,1.0293206000060309
5,0,,2026-07-30T16:49:31.217255,107166,3570,1010,3570,600,3570,225,3570,48,3570,7,9909,7,1.0495332999853417
5,0,,2026-07-30T16:49:32.244886,105505,3523,928,3523,640,3523,206,3523,46,3523,8,9695,3,1.0271701000165194
5,0,,2026-07-30T16:49:33.274178,104621,3577,996,3577,627,3577,201,3577,40,3577,4,9766,7,1.028942700009793
5,0,,2026-07-30T16:49:34.303872,105153,3555,985,3555,602,3555,172,3555,45,3555,7,9575,6,1.029272999992827
5,0,,2026-07-30T16:49:35.332658,105409,3663,936,3663,635,3663,219,3663,47,3663,7,9495,7,1.0284295000019483
5,0,,2026-07-30T16:49:36.362371,105011,3578,978,3578,610,3578,219,3578,34,3578,8,9503,4,1.0292634000070393
5,0,,2026-07-30T16:49:37.391935,105329,3553,957,3553,613,3553,206,3553,31,3553,4,9633,6,1.0291562000056729
5,0,,2026-07-30T16:49:38.419010,105186,3597,943,3597,662,3597,214,3597,31,3597,6,9626,9,1.02664310002001
5,0,,2026-07-30T16:49:39.447986,105021,3523,939,3523,633,3523,238,3523,28,3523,7,9471,5,1.0286616999947
5,0,,2026-07-30T16:49:40.476288,105713,3549,983,3549,615,3549,207,3549,33,3549,9,9666,6,1.0277267000055872
5,0,,2026-07-30T16:49:41.505371,104661,3529,956,3529,596,3529,209,3529,50,3529,11,9742,7,1.0287685999937821
5,0,,2026-07-30T16:49:42.536001,105649,3632,1000,3632,614,3632,210,3632,34,3632,5,9814,7,1.0301581000094302
5,0,,2026-07-30T16:49:43.565328,105650,3516,932,3516,590,3516,203,3516,35,3516,9,9788,9,1.0288332999916747
5,0,,2026-07-30T16:49:44.595550,105467,3546,984,3546,615,3546,196,3546,40,3546,4,9721,7,1.0298429999966174
5,0,,2026-07-30T16:49:45.624703,105597,3552,956,3552,629,3552,217,3552,47,3552,6,9425,6,1.0288058000151068
5,0,,2026-07-30T16:49:46.653241,104919,3625,1018,3625,618,3625,217,3625,47,3625,2,9627,6,1.0280911999871023
5,0,,2026-07-30T16:49:47.681802,104534,3528,1006,3528,566,3528,194,3528,49,3528,8,9500,11,1.0281697000027634
5,0,,2026-07-30T16:49:48.711316,105074,3560,928,3560,619,3560,222,3560,43,3560,6,9535,4,1.0291684999829158
5,0,,2026-07-30T16:49:49.739361,105465,3487,916,3487,591,3487,233,3487,39,3487,5,9556,5,1.027674000011757
5,0,,2026-07-30T16:49:50.768457,104791,3629,972,3629,658,3629,211,3629,33,3629,4,9609,6,1.0286467999976594
5,0,,2026-07-30T16:49:51.797400,104654,3596,973,3596,617,3596,219,3596,51,3596,7,9452,5,1.0285752000054345
5,0,,2026-07-30T16:49:52.826482,105214,3479,892,3479,631,3479,238,3479,43,3479,3,9610,9,1.028678900009254
5,0,,2026-07-30T16:49:53.856290,104937,3466,976,3466,576,3466,215,3466,44,3466,7,9595,6,1.0293901000113692
5,0,,2026-07-30T16:49:54.885930,105452,3485,986,3485,583,3485,213,3485,36,3485,5,9653,5,1.0292487000115216
5,0,,2026-07-30T16:49:55.914339,105639,3590,975,3590,611,3590,237,3590,20,3590,8,9657,3,1.0279786000028253
5,0,,2026-07-30T16:49:56.944062,105105,3628,1006,3628,617,3628,184,3628,39,3628,9,9585,5,1.029407900001388
5,0,,2026-07-30T16:49:57.973440,104943,3564,1005,3564,628,3564,200,3564,40,3564,4,9796,4,1.0289723000023514
5,0,,2026-07-30T16:49:59.003712,106003,3615,1000,3615,623,3615,193,3615,40,3615,6,9590,5,1.0298235999944154
5,0,,2026-07-30T16:50:00.032366,105281,3570,1057,3570,611,3570,189,3570,36,3570,11,9534,10,1.028286399989156
5,0,,2026-07-30T16:50:01.060035,105376,3497,963,3497,645,3497,209,3497,43,3497,6,9647,5,1.0273263999843039
