N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-17T18:28:42.329208,837721,118576,13,118576,8,118576,12,118576,8,99125,11,1.001853756250001
3,0,,2026-07-17T18:29:14.424546,839126,119208,13,119208,17,119208,16,119208,10,102056,9,1.0022590662500006
3,0,,2026-07-17T18:29:46.515930,825748,101742,8,101742,13,101742,7,101742,16,45280,3,1.0021353834375006
3,0,,2026-07-17T18:30:18.588319,821479,94262,15,94262,6,94262,11,94262,8,21629,2,1.0015610053124993
3,0,,2026-07-17T18:30:50.706941,822031,94399,10,94399,10,94399,8,94399,8,21755,3,1.0029941453125002
3,0,,2026-07-17T18:31:22.798012,818884,94229,9,94229,14,94229,8,94229,12,21441,3,1.0021233334374995
3,0,,2026-07-17T18:31:54.920313,821362,94272,11,94272,10,94272,10,94272,7,21649,2,1.0030970817187503
3,0,,2026-07-17T18:32:26.988484,820359,94131,12,94131,9,94131,11,94131,9,21446,0,1.0014225682812499
3,0,,2026-07-17T18:32:59.066492,817593,94413,6,94413,10,94413,7,94413,8,21334,1,1.0017202796875002
3,0,,2026-07-17T18:33:31.152839,819741,94800,12,94800,10,94800,11,94800,8,21504,0,1.00198581609375
3,0,,2026-07-17T18:34:03.238675,819909,94717,7,94717,9,94717,9,94717,13,21304,1,1.0019691915624998
3,0,,2026-07-17T18:34:35.329359,819702,94200,10,94200,6,94200,12,94200,9,21598,1,1.0021201906249995
3,0,,2026-07-17T18:35:07.413105,819176,94478,8,94478,10,94478,8,94478,10,21509,1,1.001879500000001
3,0,,2026-07-17T18:35:39.477291,817834,94465,8,94465,8,94465,5,94465,11,21376,3,1.00129140515625
3,0,,2026-07-17T18:36:11.561817,816984,94219,5,94219,8,94219,10,94219,5,21581,1,1.0019183551562503
3,0,,2026-07-17T18:36:43.656809,816452,94432,5,94432,15,94432,9,94432,7,21408,3,1.0022285942187494
3,0,,2026-07-17T18:37:15.757720,817116,94468,10,94468,15,94468,6,94468,13,21624,1,1.0024395312500003
3,0,,2026-07-17T18:37:47.839463,815519,95078,11,95078,8,95078,15,95078,10,21560,1,1.0018406156250008
3,0,,2026-07-17T18:38:19.940920,814463,94114,6,94114,15,94114,10,94114,9,22137,2,1.0024323125000003
3,0,,2026-07-17T18:38:52.057449,817215,94424,9,94424,5,94424,10,94424,13,21961,1,1.0029253718749997
3,0,,2026-07-17T18:39:24.135797,815248,93917,9,93917,12,93917,10,93917,5,21864,0,1.001740363125
