N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-18T19:59:29.516172,3160737,443501,134530,443501,82085,443501,10497,443501,428,518591,206,1.0003465723437497
3,0,,2026-07-18T20:00:01.521055,3160146,443038,134894,443038,81934,443038,10430,443038,473,519846,177,1.0002145442187504
3,0,,2026-07-18T20:00:33.522837,3158368,442637,134489,442637,81509,442637,10511,442637,477,518063,207,1.0001152624999998
3,0,,2026-07-18T20:01:05.534303,3157932,443070,134858,443069,82169,443069,10619,443069,432,517899,205,1.00034477609375
3,0,,2026-07-18T20:01:37.540098,3160049,442565,134512,442565,82369,442565,10498,442565,478,517980,187,1.0002899339062499
3,0,,2026-07-18T20:02:09.563784,3159776,442448,134712,442448,82036,442448,10635,442448,465,518333,193,1.0008078364062505
3,0,,2026-07-18T20:02:41.562638,3158460,442809,135200,442808,81755,442808,10407,442808,440,518547,198,1.0000147515625
3,0,,2026-07-18T20:03:13.578143,3163774,443161,134512,443160,82642,443160,10596,443160,456,520425,200,1.0005238895312498
3,0,,2026-07-18T20:03:45.582048,3158944,444243,134943,444242,82700,444242,10593,444242,483,517024,204,1.00009044796875
3,0,,2026-07-18T20:04:17.585134,3160869,443955,135499,443955,82273,443955,10466,443955,489,519400,210,1.00015682140625
3,0,,2026-07-18T20:04:49.592340,3166969,444314,135385,444314,82686,444314,10677,444314,450,517758,183,1.0002636759374997
3,0,,2026-07-18T20:05:21.593157,3164904,443583,134812,443583,82332,443583,10612,443583,446,518779,189,1.0000477475000003
3,0,,2026-07-18T20:05:53.600523,3167654,443726,135157,443726,81894,443726,10740,443726,453,519308,197,1.0002784109375005
3,0,,2026-07-18T20:06:25.607902,3170113,444785,135399,444783,82517,444783,10647,444783,401,517701,189,1.0002249203124998
3,0,,2026-07-18T20:06:57.614598,3173139,446336,136384,446336,82732,446336,10893,446336,444,519512,198,1.0003249743749993
3,0,,2026-07-18T20:07:29.624169,3167484,444527,135610,444525,82172,444525,10848,444525,429,518095,196,1.000259485
3,0,,2026-07-18T20:08:01.630804,3165819,444723,135717,444722,82324,444722,10576,444722,467,519376,185,1.0002686900000002
3,0,,2026-07-18T20:08:33.642936,3167676,445062,135836,445062,82768,445062,10675,445062,448,518862,194,1.0003943037500003
3,0,,2026-07-18T20:09:05.654648,3170507,445656,136195,445656,82460,445656,10698,445656,439,519257,196,1.0003496874999995
3,0,,2026-07-18T20:09:37.667627,3168568,445701,135620,445701,82611,445701,10762,445701,458,518668,193,1.0004356828124994
3,0,,2026-07-18T20:10:09.685014,3170820,445808,136211,445808,82786,445808,10814,445808,438,517881,171,1.0005915937500003
3,0,,2026-07-18T20:10:41.693075,3173194,444912,135390,444911,82785,444911,10855,444911,415,519488,197,1.0002946337500003
3,0,,2026-07-18T20:11:13.703346,3166878,446431,136496,446430,82988,446430,10666,446430,413,518770,204,1.0002789553124998
3,0,,2026-07-18T20:11:45.717902,3172490,446612,136693,446612,82636,446612,10685,446612,388,519874,201,1.0004861040625002
3,0,,2026-07-18T20:12:17.729957,3169472,445024,136168,445022,82617,445022,10746,445022,419,519001,193,1.0004193609374996
3,0,,2026-07-18T20:12:49.739175,3164961,444567,135495,444567,82483,444567,10521,444567,408,519144,201,1.0003066796874995
3,0,,2026-07-18T20:13:21.748881,3172225,446417,136464,446417,82743,446417,10624,446417,461,519568,177,1.0003059765625002
3,0,,2026-07-18T20:13:53.757631,3168558,446482,136634,446482,82692,446482,10777,446482,431,519593,193,1.0003300479687498
3,0,,2026-07-18T20:14:25.764895,3164441,444934,136162,444934,82696,444934,10547,444934,421,519570,208,1.0002574000000002
3,0,,2026-07-18T20:14:57.785474,3166840,445038,136342,445038,82423,445038,10427,445038,457,519337,192,1.0005551114062496
