N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-19T17:31:39.564631,83843,10076,3029,10076,1234,10076,23,10076,22,18567,9,1.02628539998841
4,0,,2026-07-19T17:31:40.591383,84655,10290,3029,10290,1276,10290,18,10290,31,18579,8,1.026575399999274
4,0,,2026-07-19T17:31:41.619887,84664,10087,3003,10087,1219,10087,27,10087,29,18541,6,1.0282640000077663
4,0,,2026-07-19T17:31:42.647419,84041,10292,2978,10292,1255,10292,25,10292,24,18817,7,1.02714289999858
4,0,,2026-07-19T17:31:43.675307,84355,10106,3056,10106,1240,10106,17,10106,22,18443,3,1.0275861999980407
4,0,,2026-07-19T17:31:44.703466,84741,10350,3130,10350,1302,10350,16,10350,25,18647,8,1.0278068999905372
4,0,,2026-07-19T17:31:45.731906,84368,10177,3086,10177,1202,10177,19,10177,22,18571,5,1.028070000000298
4,0,,2026-07-19T17:31:46.761311,84632,10158,3018,10158,1287,10158,25,10158,22,18607,5,1.0289811999973608
4,0,,2026-07-19T17:31:47.789588,84226,10018,2962,10018,1235,10018,20,10018,21,18509,4,1.0279276000073878
4,0,,2026-07-19T17:31:48.818748,84668,10127,3099,10127,1197,10127,23,10127,18,18782,5,1.0287811000016518
4,0,,2026-07-19T17:31:49.847556,85071,10262,3126,10262,1250,10262,18,10262,19,18812,5,1.0283756999997422
4,0,,2026-07-19T17:31:50.876703,84182,10154,3063,10154,1234,10154,20,10154,23,18545,10,1.0287067000026582
4,0,,2026-07-19T17:31:51.904834,84611,10044,2948,10044,1217,10044,14,10044,26,18556,8,1.0278996999986703
4,0,,2026-07-19T17:31:52.932710,84672,10203,3057,10203,1172,10203,17,10203,25,18856,11,1.0274479999934556
4,0,,2026-07-19T17:31:53.960089,84804,10271,3047,10271,1224,10271,21,10271,25,18672,8,1.026975400003721
4,0,,2026-07-19T17:31:54.986955,84537,10262,3011,10262,1235,10262,19,10262,20,18558,2,1.0265714999986812
4,0,,2026-07-19T17:31:56.014546,84527,10242,3027,10242,1309,10242,23,10242,30,18720,3,1.0272694000013871
4,0,,2026-07-19T17:31:57.042018,83930,10155,3020,10155,1218,10155,22,10155,10,18517,9,1.0271552999911364
4,0,,2026-07-19T17:31:58.069342,84783,10083,3017,10083,1197,10083,14,10083,32,18854,9,1.0271033000026364
4,0,,2026-07-19T17:31:59.096569,83612,10091,3009,10091,1200,10091,19,10091,18,18778,8,1.02693750000617
4,0,,2026-07-19T17:32:00.123324,84385,10114,3101,10114,1192,10114,20,10114,29,18408,7,1.0264371000084793
4,0,,2026-07-19T17:32:01.151235,84601,10273,3076,10273,1283,10273,25,10273,27,18687,9,1.027656999998726
4,0,,2026-07-19T17:32:02.178077,84258,10130,3065,10130,1222,10130,18,10130,23,18765,4,1.0265154999942752
4,0,,2026-07-19T17:32:03.206571,84338,10200,3153,10200,1173,10200,22,10200,20,18501,6,1.0281459000107134
4,0,,2026-07-19T17:32:04.235263,84701,10130,3036,10130,1268,10130,25,10130,25,18927,4,1.0283330000092974
4,0,,2026-07-19T17:32:05.263846,84776,10216,3070,10216,1213,10216,24,10216,20,18842,6,1.0282133000000613
4,0,,2026-07-19T17:32:06.292504,84643,10062,3019,10062,1221,10062,27,10062,28,18680,9,1.028224900001078
4,0,,2026-07-19T17:32:07.319059,84485,10216,3081,10216,1231,10216,16,10216,22,18797,3,1.026202099994407
4,0,,2026-07-19T17:32:08.347461,84455,10433,3073,10433,1307,10433,25,10433,18,18805,7,1.0280511999881128
4,0,,2026-07-19T17:32:09.376449,84426,10221,3083,10222,1240,10222,23,10222,33,18796,3,1.0285914999985835
4,0,,2026-07-19T17:32:10.403599,84173,10026,3064,10025,1209,10025,22,10025,25,18737,3,1.0268289999949047
