N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
5,0,,2026-07-30T17:22:21.008456,513583,17777,4951,17777,3122,17777,1058,17777,217,17777,22,45729,21,5.03065030000289
5,0,,2026-07-30T17:22:26.037432,513901,17706,4913,17706,3089,17706,1123,17706,201,17706,31,45708,23,5.028576299984707
5,0,,2026-07-30T17:22:31.067124,513941,17881,4942,17881,3125,17881,1112,17881,213,17881,28,45820,20,5.029272599989781
5,0,,2026-07-30T17:22:36.096135,514295,17671,4989,17671,3076,17671,1071,17671,210,17671,27,45160,19,5.028650899999775
5,0,,2026-07-30T17:22:41.124809,514072,17658,4847,17658,3113,17658,1083,17658,207,17658,36,45694,31,5.028316900017671
5,0,,2026-07-30T17:22:46.152410,514131,17644,4935,17644,3100,17644,1040,17644,219,17644,27,45911,30,5.027431099995738
5,0,,2026-07-30T17:22:51.181145,513814,17794,4971,17794,3163,17794,1097,17794,233,17794,39,45636,31,5.028374099987559
5,0,,2026-07-30T17:22:56.210278,515715,17740,4972,17740,3134,17740,1084,17740,191,17740,35,45646,35,5.028790100011975
5,0,,2026-07-30T17:23:01.238625,513720,17842,4929,17842,3128,17842,1105,17842,224,17842,36,45539,26,5.02804110001307
5,0,,2026-07-30T17:23:06.269524,514973,17471,4816,17471,3113,17471,1086,17471,211,17471,33,45547,25,5.030537100014044
5,0,,2026-07-30T17:23:11.300181,513567,17694,4956,17694,3065,17694,1040,17694,226,17694,24,45515,19,5.030215399980079
5,0,,2026-07-30T17:23:16.328985,513880,17637,4888,17637,3116,17637,1076,17637,211,17637,34,45660,29,5.028409399994416
5,0,,2026-07-30T17:23:21.356747,515007,17610,4918,17610,3118,17610,1066,17610,218,17610,29,45462,30,5.027484099991852
5,0,,2026-07-30T17:23:26.384843,513081,17702,5075,17702,3057,17702,1048,17702,209,17702,28,45624,25,5.027788299979875
5,0,,2026-07-30T17:23:31.411186,513967,17810,4992,17810,3222,17810,1039,17810,228,17810,33,45695,28,5.026212099997792
5,0,,2026-07-30T17:23:36.438880,513984,17905,4915,17905,3141,17905,1082,17905,215,17905,30,45734,35,5.027521199983312
5,0,,2026-07-30T17:23:41.466686,514426,17606,4940,17606,3064,17606,1014,17606,200,17606,37,45221,42,5.0275303000235
5,0,,2026-07-30T17:23:46.494433,514504,17776,5060,17776,3106,17776,1101,17776,214,17776,21,45599,17,5.027554000000237
5,0,,2026-07-30T17:23:51.522074,515601,18088,5011,18088,3193,18088,1119,18088,237,18088,35,45645,31,5.027465099992696
5,0,,2026-07-30T17:23:56.551009,515442,17834,4886,17834,3163,17834,1065,17834,205,17834,37,45730,23,5.028585699998075
5,0,,2026-07-30T17:24:01.579349,513639,17814,4888,17814,3187,17814,1079,17814,244,17814,23,45688,25,5.0280450000136625
5,0,,2026-07-30T17:24:06.607293,514937,17714,4978,17714,3128,17714,1076,17714,232,17714,26,45296,23,5.027655800018692
5,0,,2026-07-30T17:24:11.635195,514670,17711,4861,17711,3150,17711,1061,17711,220,17711,34,45776,31,5.027616900013527
5,0,,2026-07-30T17:24:16.661801,515173,17739,5032,17739,3110,17739,1070,17739,219,17739,32,45680,28,5.026434400002472
5,0,,2026-07-30T17:24:21.690033,514830,17869,4915,17869,3095,17869,1067,17869,228,17869,29,45983,26,5.027926799986744
5,0,,2026-07-30T17:24:26.718358,514805,17735,4944,17735,3111,17735,1051,17735,185,17735,19,45825,27,5.027979999984382
5,0,,2026-07-30T17:24:31.745879,512749,17772,4925,17772,3160,17772,1129,17772,197,17772,34,45673,22,5.0272057999973185
5,0,,2026-07-30T17:24:36.773919,514072,17864,4935,17864,3213,17864,1116,17864,215,17864,25,45468,31,5.027872299979208
5,0,,2026-07-30T17:24:41.801993,513997,18018,4983,18018,3166,18018,1139,18018,215,18018,27,45936,22,5.027751500019804
5,0,,2026-07-30T17:24:46.830277,515034,17615,4850,17615,3130,17615,1047,17615,238,17615,31,45704,31,5.028066300001228
