N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-19T17:25:34.997001,83775,9987,2972,9987,1236,9987,30,9987,22,18499,8,1.0278553999960423
4,0,,2026-07-19T17:25:36.025632,83665,10171,3072,10171,1213,10171,18,10171,18,18587,7,1.0281717000034405
4,0,,2026-07-19T17:25:37.054590,83967,10136,3011,10136,1276,10136,15,10136,13,18616,9,1.0286141999968095
4,0,,2026-07-19T17:25:38.082454,83881,10118,3081,10118,1177,10118,22,10118,26,18656,5,1.0274895999900764
4,0,,2026-07-19T17:25:39.108945,83773,10033,2988,10033,1264,10033,18,10033,26,18760,4,1.0262570999911986
4,0,,2026-07-19T17:25:40.137564,83366,10227,3060,10227,1258,10227,23,10227,26,18672,4,1.0283711000083713
4,0,,2026-07-19T17:25:41.165049,83805,10219,3030,10219,1244,10219,30,10219,22,18802,6,1.027098799997475
4,0,,2026-07-19T17:25:42.192512,83675,9898,2952,9898,1152,9898,16,9898,17,18662,7,1.027179899989278
4,0,,2026-07-19T17:25:43.220277,83769,10079,3032,10079,1215,10079,26,10079,22,18748,5,1.0274281000019982
4,0,,2026-07-19T17:25:44.246527,83652,10096,2996,10096,1239,10096,14,10096,13,18830,2,1.02599249999912
4,0,,2026-07-19T17:25:45.275251,83981,10193,3074,10193,1188,10193,17,10193,25,18530,5,1.0284450000035577
4,0,,2026-07-19T17:25:46.303966,84031,10123,3032,10123,1169,10123,21,10123,16,18812,7,1.0283151999901747
4,0,,2026-07-19T17:25:47.331163,83866,10139,3008,10139,1262,10139,19,10139,17,18842,5,1.026780600004713
4,0,,2026-07-19T17:25:48.358648,83780,10242,3115,10242,1261,10242,21,10242,18,18803,5,1.0271761000039987
4,0,,2026-07-19T17:25:49.385061,83760,10016,2977,10016,1236,10016,24,10016,30,18669,3,1.0261066000093706
4,0,,2026-07-19T17:25:50.411861,83960,10176,3060,10176,1290,10176,16,10176,23,18553,5,1.0265008999995189
4,0,,2026-07-19T17:25:51.439261,83259,9998,2967,9998,1247,9998,23,9998,27,18695,7,1.0271037999918917
4,0,,2026-07-19T17:25:52.466148,83860,10053,3052,10053,1145,10053,22,10053,20,18730,4,1.0266548000072362
4,0,,2026-07-19T17:25:53.494556,83855,10275,3102,10275,1182,10275,23,10275,24,18442,9,1.0281603000039468
4,0,,2026-07-19T17:25:54.523169,83927,10176,2973,10176,1217,10176,22,10176,24,18726,9,1.028323000005912
4,0,,2026-07-19T17:25:55.551585,84326,10264,3055,10264,1269,10264,29,10264,27,18678,7,1.02799459999369
4,0,,2026-07-19T17:25:56.578989,83599,10061,3032,10061,1213,10061,20,10061,34,18388,9,1.027034900005674
4,0,,2026-07-19T17:25:57.607259,83865,10092,3107,10092,1167,10092,17,10092,16,18833,1,1.0277858000044944
4,0,,2026-07-19T17:25:58.635934,83456,9926,2913,9926,1216,9926,27,9926,30,18661,8,1.0282976000016788
4,0,,2026-07-19T17:25:59.665480,83856,10055,2951,10055,1262,10055,20,10055,23,18748,8,1.0290246999938972
4,0,,2026-07-19T17:26:00.693358,83353,9991,2962,9991,1188,9991,17,9991,24,18658,11,1.0274595000082627
4,0,,2026-07-19T17:26:01.721235,84259,10138,3028,10138,1220,10138,18,10138,26,18642,5,1.0274453000020003
4,0,,2026-07-19T17:26:02.748938,83518,10088,3052,10088,1201,10088,10,10088,18,18807,2,1.0273137000040151
4,0,,2026-07-19T17:26:03.777748,83239,10016,3027,10016,1201,10016,29,10016,24,18758,11,1.028428999998141
4,0,,2026-07-19T17:26:04.806255,83841,10001,3050,10001,1217,10001,28,10001,25,18816,9,1.0281184000050416
4,0,,2026-07-19T17:26:05.834386,84096,10212,3023,10211,1275,10211,21,10211,23,18592,6,1.027772500005085
4,0,,2026-07-19T17:26:06.863861,84047,10057,3079,10057,1190,10057,22,10057,30,18691,7,1.029081699991366
4,0,,2026-07-19T17:26:07.891923,83732,10421,3096,10421,1248,10421,18,10421,25,18604,5,1.0277311999961967
4,0,,2026-07-19T17:26:08.918917,83914,10243,2970,10243,1260,10243,30,10243,23,18704,4,1.0267703999998048
4,0,,2026-07-19T17:26:09.946372,83878,9968,2989,9968,1220,9968,21,9968,25,18722,6,1.0272073999949498
4,0,,2026-07-19T17:26:10.974803,84007,9930,2939,9930,1218,9930,21,9930,19,18855,6,1.0282796999963466
4,0,,2026-07-19T17:26:12.004150,83778,10271,2977,10271,1252,10271,18,10271,36,18628,2,1.0289317999995546
4,0,,2026-07-19T17:26:13.032234,83357,10218,3098,10218,1244,10218,18,10218,26,18443,3,1.0277402000065194
4,0,,2026-07-19T17:26:14.095844,86955,10447,3062,10447,1223,10447,17,10447,34,19292,5,1.063221699994756
4,0,,2026-07-19T17:26:15.124328,84280,10137,3069,10137,1251,10137,19,10137,19,18657,3,1.0282302999985404
4,0,,2026-07-19T17:26:16.150183,83539,9983,2977,9983,1177,9983,18,9983,29,18630,6,1.0254850999917835
4,0,,2026-07-19T17:26:17.179284,83683,10170,3093,10170,1131,10170,23,10170,17,18623,4,1.0288180000061402
4,0,,2026-07-19T17:26:18.208205,84228,10338,3061,10338,1273,10338,25,10338,21,18675,6,1.0285715000063647
4,0,,2026-07-19T17:26:19.236558,83449,9965,2963,9965,1191,9965,20,9965,24,18475,4,1.0279263999982504
4,0,,2026-07-19T17:26:20.265329,84444,10059,3007,10059,1168,10059,18,10059,25,18590,9,1.0283503999962704
4,0,,2026-07-19T17:26:21.293926,83647,10109,2988,10109,1209,10109,29,10109,28,18822,9,1.0283407000097213
4,0,,2026-07-19T17:26:22.322902,83844,10130,2961,10130,1262,10130,26,10130,28,18463,7,1.0286291999946116
4,0,,2026-07-19T17:26:23.351027,83810,10071,2936,10071,1217,10071,16,10071,21,18612,7,1.0277517000067746
4,0,,2026-07-19T17:26:24.379578,83849,10075,3102,10075,1201,10075,17,10075,20,18770,4,1.0281837999937125
4,0,,2026-07-19T17:26:25.412572,83668,10282,3010,10282,1276,10282,16,10282,17,18711,2,1.032534800004214
4,0,,2026-07-19T17:26:26.439861,84661,10160,2991,10160,1284,10160,25,10160,24,18778,3,1.0270883999910438
4,0,,2026-07-19T17:26:27.468016,83692,10058,3017,10058,1170,10058,27,10058,20,18849,7,1.0279079000029014
4,0,,2026-07-19T17:26:28.496228,83826,10148,3050,10148,1270,10148,16,10148,17,18976,3,1.0278410000028089
4,0,,2026-07-19T17:26:29.525435,84036,10055,2933,10055,1237,10055,25,10055,35,18845,1,1.0286774999985937
4,0,,2026-07-19T17:26:30.554326,84126,10169,3014,10169,1250,10169,20,10169,25,18693,4,1.028502599991043
4,0,,2026-07-19T17:26:31.582163,83310,10114,3008,10114,1263,10114,24,10114,31,18632,8,1.0274315999995451
4,0,,2026-07-19T17:26:32.609232,83673,10181,3062,10181,1184,10181,25,10181,27,18902,7,1.0267028999951435
4,0,,2026-07-19T17:26:33.636532,84038,10242,3002,10242,1238,10242,15,10242,20,18644,2,1.027002699993318
4,0,,2026-07-19T17:26:34.665508,83579,10080,3027,10080,1201,10080,15,10080,22,18572,2,1.0286808999953791
4,0,,2026-07-19T17:26:35.694038,83475,10187,3047,10187,1251,10187,26,10187,22,18588,8,1.028118899994297
4,0,,2026-07-19T17:26:36.723348,83709,10134,3058,10134,1234,10134,17,10134,22,18828,6,1.0289620999974431
4,0,,2026-07-19T17:26:37.751028,83416,10048,2951,10048,1207,10048,19,10048,32,18659,8,1.0272593000117922
4,0,,2026-07-19T17:26:38.779834,83267,10128,2955,10128,1253,10128,22,10128,16,18759,4,1.028453700011596
4,0,,2026-07-19T17:26:39.807494,83429,10179,3031,10179,1218,10179,24,10179,24,18612,6,1.0272638000024017
4,0,,2026-07-19T17:26:40.834265,83390,9933,2947,9933,1242,9933,13,9933,24,18654,5,1.0264589999860618
