N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-29T20:44:55.292913,107952,4660,1413,4660,939,4660,292,4660,40,8863,0,1.0295331999950577
4,0,,2026-07-29T20:44:56.322130,108751,4637,1469,4637,906,4637,273,4637,25,9080,0,1.028639900003327
4,0,,2026-07-29T20:44:57.350281,108209,4612,1401,4612,857,4612,275,4612,46,9183,2,1.027678799990099
4,0,,2026-07-29T20:44:58.380648,107695,4593,1394,4593,931,4593,261,4593,35,9100,2,1.030016800010344
4,0,,2026-07-29T20:44:59.410525,108114,4577,1416,4577,899,4577,291,4577,32,9136,1,1.0294475999835413
4,0,,2026-07-29T20:45:00.439950,108008,4539,1396,4539,874,4539,260,4539,37,9143,3,1.028961200005142
4,0,,2026-07-29T20:45:01.469763,108313,4569,1375,4569,935,4569,283,4569,49,8965,3,1.029145200009225
4,0,,2026-07-29T20:45:02.499091,107859,4545,1391,4545,897,4545,261,4545,51,9301,1,1.0287427000002936
4,0,,2026-07-29T20:45:03.527357,108163,4664,1353,4664,974,4664,268,4664,39,9049,0,1.0278776999912225
4,0,,2026-07-29T20:45:04.558662,108185,4653,1381,4653,947,4653,285,4653,38,9051,2,1.0309095999982674
4,0,,2026-07-29T20:45:05.587398,108693,4666,1401,4666,936,4666,291,4666,44,9046,1,1.028359800024191
4,0,,2026-07-29T20:45:06.616531,108010,4772,1428,4772,961,4772,298,4772,29,9105,2,1.0286959999939427
4,0,,2026-07-29T20:45:07.644143,108248,4593,1370,4593,912,4593,276,4593,52,9264,1,1.0272396999935154
4,0,,2026-07-29T20:45:08.674831,108028,4694,1480,4694,917,4694,308,4694,37,9071,1,1.0304740999999922
4,0,,2026-07-29T20:45:09.704523,107970,4670,1455,4670,939,4670,301,4670,38,9178,0,1.0290707999956794
4,0,,2026-07-29T20:45:10.736007,108285,4632,1416,4632,874,4632,274,4632,43,9290,0,1.0312492999946699
4,0,,2026-07-29T20:45:11.765769,108383,4569,1370,4569,892,4569,259,4570,37,9056,2,1.0290693999850191
4,0,,2026-07-29T20:45:12.794220,108720,4602,1383,4602,894,4602,278,4601,47,9266,1,1.0281184999912512
4,0,,2026-07-29T20:45:13.824256,108139,4636,1364,4636,920,4636,274,4636,42,8945,0,1.0296269000100438
4,0,,2026-07-29T20:45:14.853913,108054,4712,1383,4712,890,4712,254,4712,52,9093,0,1.0291672000021208
4,0,,2026-07-29T20:45:15.882507,108131,4547,1340,4547,877,4547,282,4547,41,8962,3,1.0282341999991331
4,0,,2026-07-29T20:45:16.911777,108366,4646,1385,4646,975,4646,273,4646,50,9107,1,1.0288255000195932
4,0,,2026-07-29T20:45:17.941067,108149,4668,1399,4668,934,4668,270,4668,36,9018,2,1.0289262000005692
4,0,,2026-07-29T20:45:18.968966,108312,4670,1474,4670,958,4670,254,4670,37,9054,1,1.0273638000071514
4,0,,2026-07-29T20:45:19.997641,107937,4690,1409,4690,971,4690,254,4690,37,9040,2,1.0284417000075337
4,0,,2026-07-29T20:45:21.028419,108338,4612,1407,4612,954,4612,273,4612,36,9089,3,1.0304497000179254
4,0,,2026-07-29T20:45:22.059808,108315,4721,1462,4721,919,4721,271,4721,35,9132,2,1.0309704999963287
4,0,,2026-07-29T20:45:23.089341,108453,4672,1437,4672,953,4672,270,4672,40,8985,2,1.0291711000027135
4,0,,2026-07-29T20:45:24.119603,108172,4671,1410,4671,930,4671,307,4671,38,9187,1,1.0300265999976546
4,0,,2026-07-29T20:45:25.147562,108796,4674,1431,4674,923,4674,286,4674,36,9115,1,1.027564199990593
4,0,,2026-07-29T20:45:26.175242,108371,4731,1398,4731,942,4731,268,4731,39,9163,2,1.0273402000020724
4,0,,2026-07-29T20:45:27.204514,108097,4740,1377,4740,985,4740,278,4740,33,9067,3,1.0289777999860235
4,0,,2026-07-29T20:45:28.233274,108558,4622,1347,4622,936,4622,282,4622,41,9156,2,1.0285945999785326
4,0,,2026-07-29T20:45:29.260451,107929,4519,1336,4519,875,4519,277,4519,36,9051,1,1.0268303000193555
4,0,,2026-07-29T20:45:30.288598,108398,4594,1386,4594,918,4594,282,4594,36,9207,2,1.0277268999780063
4,0,,2026-07-29T20:45:31.315952,107967,4617,1349,4617,959,4617,244,4617,31,9116,1,1.0269934000098146
4,0,,2026-07-29T20:45:32.345933,108123,4629,1428,4629,935,4629,283,4629,35,9257,2,1.0296044999849983
4,0,,2026-07-29T20:45:33.373406,108562,4578,1378,4579,913,4579,278,4579,33,9285,1,1.0271889000141528
4,0,,2026-07-29T20:45:34.402317,108166,4614,1406,4613,927,4613,270,4613,40,9307,0,1.0286752000101842
4,0,,2026-07-29T20:45:35.431419,108070,4665,1416,4665,895,4665,305,4665,31,9162,2,1.0287427000002936
4,0,,2026-07-29T20:45:36.461183,107865,4553,1357,4553,940,4553,262,4553,38,9407,0,1.0295123999821953
4,0,,2026-07-29T20:45:37.491547,107768,4481,1349,4481,901,4481,243,4481,34,8986,0,1.0300887000048533
4,0,,2026-07-29T20:45:38.520188,107724,4587,1389,4587,901,4587,267,4587,43,9195,1,1.0282551000127569
4,0,,2026-07-29T20:45:39.547807,108921,4696,1382,4696,924,4696,273,4696,42,9033,4,1.0270595000183675
4,0,,2026-07-29T20:45:40.576596,107839,4560,1363,4560,901,4560,260,4560,37,9159,2,1.0285311999905389
4,0,,2026-07-29T20:45:41.604463,108078,4579,1401,4579,867,4579,293,4579,38,9124,1,1.027521300013177
4,0,,2026-07-29T20:45:42.634300,108081,4553,1330,4553,940,4553,242,4553,47,8945,1,1.029362700006459
4,0,,2026-07-29T20:45:43.663655,108177,4570,1377,4570,936,4570,290,4570,28,8895,0,1.0289106000273023
4,0,,2026-07-29T20:45:44.692190,108322,4655,1422,4655,958,4655,258,4655,37,9158,3,1.0281089000054635
4,0,,2026-07-29T20:45:45.721460,108437,4622,1447,4622,887,4622,275,4622,24,9013,2,1.0289348999795038
4,0,,2026-07-29T20:45:46.751425,107758,4588,1382,4588,914,4588,269,4588,44,9067,1,1.0294983000203501
4,0,,2026-07-29T20:45:47.781506,108350,4663,1436,4663,892,4663,294,4663,35,8980,3,1.0297818999970332
4,0,,2026-07-29T20:45:48.811097,108058,4697,1421,4697,933,4697,262,4697,44,9072,0,1.0291015999973752
4,0,,2026-07-29T20:45:49.840744,108416,4713,1372,4713,914,4713,298,4713,43,9116,1,1.0292666000023019
