N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-28T19:23:19.379894,106198,4407,2304,4407,75,4407,4,4407,1,4407,3,1772,1,1.0293028000014601
3,0,,2026-07-28T19:23:20.408826,106547,4367,2315,4367,84,4367,1,4367,1,4367,1,1811,2,1.0285279999952763
3,0,,2026-07-28T19:23:21.438273,107307,4429,2339,4429,85,4429,4,4429,1,4429,0,1853,0,1.029142100000172
3,0,,2026-07-28T19:23:22.464633,106016,4288,2280,4288,76,4288,5,4288,2,4288,2,1792,0,1.0261458000022685
3,0,,2026-07-28T19:23:23.491027,105902,4370,2333,4370,74,4370,5,4370,5,4370,2,1786,0,1.0262953999917954
3,0,,2026-07-28T19:23:24.518623,106297,4477,2390,4477,85,4477,3,4477,1,4477,2,1763,0,1.0274159999971744
3,0,,2026-07-28T19:23:25.545074,107052,4374,2316,4374,69,4374,5,4374,1,4374,0,1816,0,1.0262166000029538
3,0,,2026-07-28T19:23:26.572794,106577,4334,2240,4334,69,4334,0,4334,6,4334,1,1836,3,1.0276079000032041
3,0,,2026-07-28T19:23:27.601310,106472,4332,2337,4332,80,4332,2,4332,1,4332,2,1749,0,1.0282589999987977
3,0,,2026-07-28T19:23:28.628822,106660,4547,2376,4547,72,4547,4,4547,3,4547,1,1825,0,1.027315200000885
3,0,,2026-07-28T19:23:29.655090,107008,4464,2371,4464,77,4464,2,4464,2,4464,1,1786,1,1.026055099995574
3,0,,2026-07-28T19:23:30.683770,106809,4347,2359,4347,84,4347,1,4347,5,4347,1,1737,1,1.028414000000339
3,0,,2026-07-28T19:23:31.710947,107234,4348,2221,4348,81,4348,4,4348,3,4348,0,1775,1,1.0268529000022681
3,0,,2026-07-28T19:23:32.738196,107055,4480,2381,4480,90,4480,3,4480,1,4480,4,1796,1,1.027059999993071
