N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-19T18:17:08.602420,84743,10095,3055,10095,989,10095,22,10095,2,18872,8,1.0270790999929886
4,0,,2026-07-19T18:17:09.630089,84513,10030,2986,10030,1011,10030,19,10030,4,19104,11,1.0272660000046017
4,0,,2026-07-19T18:17:10.658668,84930,10076,2967,10076,963,10076,29,10076,2,19023,3,1.0282556000020122
4,0,,2026-07-19T18:17:11.687687,84554,10085,2947,10085,996,10085,24,10086,2,19064,4,1.0287432000041008
4,0,,2026-07-19T18:17:12.714917,84593,10084,3027,10084,970,10084,28,10083,2,18922,6,1.026863899998716
4,0,,2026-07-19T18:17:13.743372,84643,9835,3030,9835,962,9835,19,9835,1,18784,4,1.0281614999985322
4,0,,2026-07-19T18:17:14.772479,85063,9978,3079,9978,960,9978,23,9978,5,18883,7,1.0288026000052923
4,0,,2026-07-19T18:17:15.801058,84787,10204,3034,10204,1000,10204,18,10204,6,18988,5,1.0281687000097008
4,0,,2026-07-19T18:17:16.828923,84492,10086,2986,10086,995,10086,25,10086,5,18844,3,1.0275278000044636
4,0,,2026-07-19T18:17:17.857001,84609,10160,2996,10160,1054,10160,25,10160,3,18869,9,1.0277493000030518
4,0,,2026-07-19T18:17:18.884530,84850,10119,3076,10119,1023,10119,30,10119,3,18751,7,1.0272538999997778
4,0,,2026-07-19T18:17:19.912958,84858,10154,2999,10154,1001,10154,17,10154,2,19099,8,1.028130599996075
4,0,,2026-07-19T18:17:20.939878,84609,10234,3084,10234,1061,10234,20,10234,6,19042,5,1.026546099994448
4,0,,2026-07-19T18:17:21.968445,84192,10084,2989,10084,1022,10084,37,10084,7,19112,8,1.0282562999927904
4,0,,2026-07-19T18:17:22.996707,85133,10158,3037,10158,1049,10158,17,10158,5,18756,9,1.0278952999942703
4,0,,2026-07-19T18:17:24.025389,84161,10105,3066,10105,1004,10105,19,10105,2,18929,9,1.0284077999967849
4,0,,2026-07-19T18:17:25.053977,84681,10159,3060,10159,985,10159,27,10159,4,18949,4,1.0283319000009215
