N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
5,0,,2026-07-30T12:23:06.362527,107970,3804,1031,3804,546,3804,221,3804,52,3804,1,9538,4,1.0283166999870446
5,0,,2026-07-30T12:23:07.390904,107935,3841,1049,3841,542,3841,210,3841,33,3841,2,9606,10,1.0279882000177167
5,0,,2026-07-30T12:23:08.419514,106830,3947,1095,3947,542,3947,221,3947,31,3947,1,9580,4,1.0284320999926422
5,0,,2026-07-30T12:23:09.448568,106406,3764,1015,3764,510,3764,201,3764,38,3764,1,9446,5,1.0287319000053685
5,0,,2026-07-30T12:23:10.478443,107228,3929,1029,3929,572,3929,213,3929,39,3929,3,9454,4,1.029499099997338
5,0,,2026-07-30T12:23:11.509565,107314,3770,973,3770,565,3770,226,3770,40,3770,0,9444,4,1.0305809999990743
5,0,,2026-07-30T12:23:12.538155,107638,3857,1056,3857,557,3857,209,3857,31,3857,3,9487,4,1.0280666000035126
5,0,,2026-07-30T12:23:13.566544,106748,3706,969,3706,543,3706,210,3706,31,3706,2,9461,1,1.0281019000103697
5,0,,2026-07-30T12:23:14.595094,106956,3867,1013,3867,575,3867,205,3867,33,3867,0,9440,10,1.028120700008003
5,0,,2026-07-30T12:23:15.625353,106702,3919,1052,3919,499,3919,229,3919,47,3919,1,9388,5,1.0298499999917112
5,0,,2026-07-30T12:23:16.653707,107193,3845,1020,3845,532,3845,230,3845,41,3845,0,9320,4,1.0279850999941118
