N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
5,0,,2026-07-30T12:27:54.493274,105984,3884,974,3884,654,3884,190,3884,35,3884,0,9272,3,1.0276476000144612
5,0,,2026-07-30T12:27:55.521039,106996,3895,1014,3895,661,3895,207,3895,48,3895,0,9452,4,1.0274522000108846
5,0,,2026-07-30T12:27:56.550301,106596,3811,964,3811,677,3811,172,3811,49,3811,0,9354,5,1.028995800006669
5,0,,2026-07-30T12:27:57.590131,106640,3893,1003,3893,660,3893,189,3893,45,3893,1,9247,5,1.0396174999768846
5,0,,2026-07-30T12:27:58.638573,110585,3982,1034,3982,656,3982,180,3982,46,3982,2,9798,5,1.0272649999824353
5,0,,2026-07-30T12:27:59.667381,106487,3840,1000,3840,617,3840,192,3840,48,3840,0,9212,2,1.028493099991465
5,0,,2026-07-30T12:28:00.696261,106815,3749,1011,3749,611,3749,150,3749,43,3749,0,9643,4,1.0285030000086408
5,0,,2026-07-30T12:28:01.725660,107108,3890,1004,3890,637,3890,180,3890,45,3890,0,9397,1,1.028978200018173
5,0,,2026-07-30T12:28:02.754854,106878,3871,987,3871,671,3871,201,3871,50,3871,3,9555,2,1.0289303000026848
5,0,,2026-07-30T12:28:03.784606,106702,3830,995,3830,631,3830,191,3830,36,3830,0,9376,6,1.0293339000199921
5,0,,2026-07-30T12:28:04.813140,106431,3906,966,3906,654,3906,175,3906,42,3906,1,9489,6,1.0281626000069082
5,0,,2026-07-30T12:28:05.843155,106734,3753,979,3753,633,3753,157,3753,37,3753,0,9354,5,1.0297051999950781
5,0,,2026-07-30T12:28:06.873224,106986,3874,981,3874,654,3874,176,3874,33,3874,2,9444,0,1.0297749000019394
5,0,,2026-07-30T12:28:07.903477,107100,3894,992,3894,674,3894,208,3894,41,3894,0,9526,3,1.0299554000084754
5,0,,2026-07-30T12:28:08.932633,106744,3795,954,3795,658,3795,171,3795,39,3795,1,9688,2,1.0286697999981698
5,0,,2026-07-30T12:28:09.962441,105857,3848,966,3848,644,3848,187,3848,41,3848,2,9445,7,1.029428600013489
5,0,,2026-07-30T12:28:10.991419,106832,3820,976,3820,645,3820,198,3820,43,3820,2,9502,9,1.0284430999890901
5,0,,2026-07-30T12:28:12.020447,106378,3815,926,3815,632,3815,198,3815,49,3815,1,9436,5,1.0287793000170495
5,0,,2026-07-30T12:28:13.050016,106511,3904,1025,3904,667,3904,182,3904,42,3904,2,9626,5,1.0291617999901064
5,0,,2026-07-30T12:28:14.079862,106822,3855,965,3855,676,3855,159,3855,46,3855,3,9645,4,1.0294050999800675
5,0,,2026-07-30T12:28:15.109139,107055,3718,943,3718,630,3718,147,3718,35,3718,2,9448,9,1.028704700001981
5,0,,2026-07-30T12:28:16.138500,106635,3930,1022,3930,703,3930,226,3930,31,3930,2,9424,3,1.0288918000005651
5,0,,2026-07-30T12:28:17.168024,106699,3882,993,3882,685,3882,181,3882,33,3882,2,9487,3,1.0291717000072822
5,0,,2026-07-30T12:28:18.197030,106464,3872,1028,3872,659,3872,180,3872,49,3872,1,9558,4,1.0286771999963094
5,0,,2026-07-30T12:28:19.226387,107128,3836,1030,3836,621,3836,172,3836,34,3836,1,9579,7,1.0289930000144523
5,0,,2026-07-30T12:28:20.255842,107076,3849,1011,3849,674,3849,186,3849,41,3849,2,9478,1,1.0291093999985605
