N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-22T10:06:30.334375,106284,15453,4541,15453,2924,15453,362,15453,7,15453,6,17867,5,1.0287995999970008
3,0,,2026-07-22T10:06:31.363492,105964,15262,4476,15262,2902,15262,373,15262,2,15262,6,18052,5,1.0277548000012757
3,0,,2026-07-22T10:06:32.391004,105313,15243,4369,15243,2981,15243,380,15243,2,15243,2,18029,14,1.0268603000004077
3,0,,2026-07-22T10:06:33.417590,105590,15263,4568,15263,2853,15263,356,15263,8,15263,5,17992,11,1.0263261000000057
3,0,,2026-07-22T10:06:34.444988,105939,15464,4528,15464,2868,15464,355,15464,4,15464,1,17999,10,1.0271967000007862
3,0,,2026-07-22T10:06:35.473265,105738,15154,4487,15154,2815,15154,356,15154,1,15154,4,18002,2,1.0280254999961471
3,0,,2026-07-22T10:06:36.500203,105640,15491,4585,15491,2982,15491,351,15491,6,15491,8,17954,10,1.0265350000045146
3,0,,2026-07-22T10:06:37.528156,105992,15478,4595,15478,2929,15478,370,15478,11,15478,6,18048,11,1.0277588999961154
3,0,,2026-07-22T10:06:38.557085,105865,15461,4396,15461,3026,15461,363,15461,4,15461,3,18111,13,1.028761100002157
3,0,,2026-07-22T10:06:39.586731,106372,15630,4489,15630,2978,15630,365,15630,7,15630,3,18286,8,1.0293143000017153
3,0,,2026-07-22T10:06:40.615458,105743,15217,4540,15217,2849,15217,351,15217,5,15217,7,17954,5,1.0283070000004955
3,0,,2026-07-22T10:06:41.642206,106244,15338,4439,15338,2987,15338,411,15338,9,15338,5,18162,9,1.0264377999992575
3,0,,2026-07-22T10:06:42.671314,106223,15379,4480,15379,2896,15379,391,15379,8,15379,12,17845,9,1.0288386999964132
3,0,,2026-07-22T10:06:43.699503,106211,15402,4534,15402,2960,15402,357,15402,4,15402,13,18108,7,1.027829999999085
3,0,,2026-07-22T10:06:44.728576,105781,15376,4446,15376,2988,15376,360,15376,7,15376,5,17764,10,1.028852999996161
3,0,,2026-07-22T10:06:45.756152,106167,15463,4524,15463,2945,15463,370,15463,5,15463,1,17935,7,1.0272378000008757
3,0,,2026-07-22T10:06:46.786077,106424,15416,4466,15416,2948,15416,381,15416,4,15416,2,18137,5,1.029657600003702
3,0,,2026-07-22T10:06:47.842298,109039,15654,4601,15654,3018,15654,341,15654,6,15654,8,18350,12,1.0558586999977706
3,0,,2026-07-22T10:06:48.869633,105908,15302,4530,15302,2854,15302,375,15302,8,15302,6,18120,8,1.0271945999993477
3,0,,2026-07-22T10:06:49.898746,105561,15303,4420,15303,2967,15303,315,15303,6,15303,7,17596,5,1.0288371999995434
3,0,,2026-07-22T10:06:50.928800,106190,15023,4416,15023,2857,15023,340,15023,4,15023,8,18000,6,1.0290894999998272
3,0,,2026-07-22T10:06:51.957564,106188,15528,4515,15528,2944,15528,378,15528,3,15528,3,18174,9,1.0283615000007558
3,0,,2026-07-22T10:06:52.986661,105954,15239,4494,15239,2904,15239,368,15239,7,15239,6,17751,9,1.0287637000001268
3,0,,2026-07-22T10:06:54.015872,106372,15297,4465,15297,3008,15297,385,15297,4,15297,3,17900,9,1.0288053000040236
3,0,,2026-07-22T10:06:55.044737,105959,15332,4522,15332,2895,15332,380,15332,8,15332,8,17790,5,1.028528599999845
3,0,,2026-07-22T10:06:56.073639,106065,15273,4532,15273,2968,15273,346,15273,5,15273,6,17890,11,1.0285421000007773
3,0,,2026-07-22T10:06:57.103542,106193,15328,4483,15328,2977,15328,371,15328,11,15328,5,18002,8,1.029529100000218
3,0,,2026-07-22T10:06:58.132725,106219,15643,4595,15643,2946,15643,391,15643,6,15643,7,18035,10,1.0288040000014007
3,0,,2026-07-22T10:06:59.162195,105826,15408,4465,15408,2962,15408,361,15408,15,15408,2,17889,3,1.029037899999821
3,0,,2026-07-22T10:07:00.190018,105695,15297,4367,15297,2943,15297,374,15297,8,15297,4,18007,7,1.0274538000012399
3,0,,2026-07-22T10:07:01.218993,105920,15654,4478,15654,3010,15654,369,15654,11,15654,5,17874,4,1.0286640000049374
3,0,,2026-07-22T10:07:02.248213,106191,15259,4445,15259,2914,15259,362,15259,13,15259,4,17914,8,1.028886500003864
3,0,,2026-07-22T10:07:03.277909,106002,15590,4686,15590,2979,15590,339,15590,7,15590,5,18042,5,1.029281600000104
3,0,,2026-07-22T10:07:04.307598,106502,15366,4541,15366,2883,15366,383,15366,5,15366,2,18033,5,1.0293017000003601
3,0,,2026-07-22T10:07:05.336997,105628,15181,4387,15181,2925,15181,351,15181,5,15181,5,17747,8,1.0289966999989701
3,0,,2026-07-22T10:07:06.366806,106145,15202,4371,15202,2978,15202,324,15202,4,15202,8,18115,13,1.0294271999955527
3,0,,2026-07-22T10:07:07.396783,106243,15239,4449,15239,2890,15239,377,15239,6,15239,7,18136,8,1.0295470000055502
3,0,,2026-07-22T10:07:08.426034,106261,15596,4499,15597,3025,15597,367,15597,4,15597,4,17861,11,1.0289035999958287
3,0,,2026-07-22T10:07:09.455615,106092,15412,4566,15411,2945,15411,380,15411,6,15411,6,17939,11,1.0291721999965375
3,0,,2026-07-22T10:07:10.483324,106726,15337,4527,15337,2960,15337,411,15337,2,15337,7,17940,7,1.02738419999514
3,0,,2026-07-22T10:07:11.512064,106039,15501,4525,15501,2943,15501,351,15501,5,15501,4,17967,3,1.0284482999995816
3,0,,2026-07-22T10:07:12.541747,105575,15418,4474,15418,2926,15418,378,15418,12,15418,7,18048,4,1.0293098999973154
3,0,,2026-07-22T10:07:13.570449,106397,15491,4501,15491,2947,15491,322,15491,1,15491,8,18155,5,1.0283358000015141
3,0,,2026-07-22T10:07:14.599691,106301,15603,4615,15603,3018,15603,337,15603,8,15603,8,17833,7,1.0290013999983785
3,0,,2026-07-22T10:07:15.628961,106737,15569,4467,15569,3000,15569,385,15569,5,15569,7,18067,6,1.0288549000033527
3,0,,2026-07-22T10:07:16.657964,106120,15445,4571,15445,2963,15445,363,15445,3,15445,4,18014,7,1.0286209999976563
3,0,,2026-07-22T10:07:17.684949,106116,15292,4536,15292,2930,15292,333,15292,6,15292,1,17939,11,1.0267230000026757
3,0,,2026-07-22T10:07:18.712608,106168,15345,4484,15345,2949,15345,342,15345,4,15345,5,17786,4,1.0273262999980943
3,0,,2026-07-22T10:07:19.739565,105953,15029,4509,15029,2880,15029,331,15029,5,15029,5,17660,11,1.0267249000025913
3,0,,2026-07-22T10:07:20.768795,106000,15506,4523,15506,2947,15506,347,15506,6,15506,5,17901,7,1.0290107000037096
3,0,,2026-07-22T10:07:21.795862,106163,15347,4429,15347,3030,15347,344,15347,7,15347,8,18005,6,1.0267330999995465
3,0,,2026-07-22T10:07:22.825601,105837,15266,4462,15266,2975,15266,348,15267,5,15267,1,17956,9,1.0294741000034264
3,0,,2026-07-22T10:07:23.854693,105875,15233,4508,15233,2892,15233,350,15232,6,15232,4,17988,8,1.0287987999981851
3,0,,2026-07-22T10:07:24.883491,105874,15385,4447,15385,2981,15385,365,15385,4,15385,6,18028,10,1.0284333000017796
3,0,,2026-07-22T10:07:25.912654,105986,15275,4523,15275,2910,15275,356,15275,7,15275,5,17969,11,1.0287889999963227
3,0,,2026-07-22T10:07:26.941878,105750,15380,4509,15380,2884,15380,349,15380,3,15380,17,18143,2,1.0288643999956548
3,0,,2026-07-22T10:07:27.970497,106247,15481,4448,15481,3034,15481,389,15481,3,15481,10,17822,8,1.0282541000051424
3,0,,2026-07-22T10:07:28.999581,106730,15242,4481,15242,2938,15242,330,15242,5,15242,10,18044,6,1.028716799999529
3,0,,2026-07-22T10:07:30.028937,106117,15577,4553,15577,2910,15577,368,15577,9,15577,5,17979,3,1.0290374000032898
3,0,,2026-07-22T10:07:31.057447,106197,15299,4493,15299,2916,15300,356,15300,7,15300,4,18177,13,1.0281746000036946
3,0,,2026-07-22T10:07:32.086627,105846,15450,4593,15450,2911,15449,369,15449,9,15449,3,18127,5,1.0288744000063161
3,0,,2026-07-22T10:07:33.115662,106658,15350,4507,15350,2956,15350,350,15350,8,15350,1,18016,10,1.0286794999992708
3,0,,2026-07-22T10:07:34.144884,105832,15249,4414,15249,2889,15249,349,15249,4,15249,6,17986,10,1.028860699996585
3,0,,2026-07-22T10:07:35.174435,106091,15494,4522,15494,2926,15494,359,15494,4,15494,5,17861,9,1.0291901000018697
3,0,,2026-07-22T10:07:36.204451,106335,15445,4554,15445,2895,15445,379,15445,6,15445,5,17926,12,1.029674299999897
3,0,,2026-07-22T10:07:37.233779,106214,15390,4530,15390,2878,15390,388,15390,9,15390,7,17792,10,1.0289431999990484
3,0,,2026-07-22T10:07:38.263282,106329,15537,4552,15537,3022,15537,398,15537,6,15537,7,18040,3,1.0291668999998365
3,0,,2026-07-22T10:07:39.290487,105983,15281,4412,15281,2968,15281,349,15281,4,15281,6,17919,4,1.0269364999985555
3,0,,2026-07-22T10:07:40.319707,105862,15027,4311,15027,2924,15027,343,15027,5,15027,6,17676,9,1.0289444999943953
3,0,,2026-07-22T10:07:41.350768,105644,15124,4423,15124,2904,15124,368,15124,8,15124,2,17967,4,1.0307360000006156
3,0,,2026-07-22T10:07:42.379635,106523,15664,4527,15664,3008,15664,375,15664,6,15664,9,18243,8,1.0285722999979043
3,0,,2026-07-22T10:07:43.409725,106000,15515,4551,15515,2982,15515,383,15515,4,15515,3,17843,4,1.0297016999975313
3,0,,2026-07-22T10:07:44.437690,106745,15379,4511,15379,2966,15379,347,15379,7,15379,4,18028,6,1.027651299998979
3,0,,2026-07-22T10:07:45.464200,106328,15347,4447,15347,2892,15347,354,15347,10,15347,6,17878,8,1.0263353000045754
3,0,,2026-07-22T10:07:46.492277,105573,15523,4562,15523,2846,15523,389,15523,8,15523,5,18155,7,1.027840599999763
3,0,,2026-07-22T10:07:47.521552,106476,15293,4456,15293,2927,15293,349,15293,7,15293,6,17981,3,1.028919299998961
3,0,,2026-07-22T10:07:48.548764,105893,15310,4422,15310,3029,15310,347,15310,7,15310,4,17930,4,1.0268336000008276
3,0,,2026-07-22T10:07:49.578322,105483,15366,4593,15366,2916,15366,347,15366,8,15366,2,17839,6,1.0292007000025478
3,0,,2026-07-22T10:07:50.606587,106207,15342,4459,15342,3009,15342,369,15342,6,15342,3,18065,8,1.0278814999983297
3,0,,2026-07-22T10:07:51.635416,106255,15296,4420,15296,3009,15296,385,15296,3,15296,3,18060,7,1.0285443999964627
3,0,,2026-07-22T10:07:52.663274,105920,15326,4473,15326,2995,15326,375,15326,10,15326,4,17833,5,1.027578799999901
3,0,,2026-07-22T10:07:53.692106,105969,15538,4447,15538,3003,15538,397,15538,12,15538,9,17771,2,1.028477700005169
3,0,,2026-07-22T10:07:54.720741,105695,15434,4503,15434,2956,15434,364,15434,9,15434,4,17854,6,1.0282583000007435
3,0,,2026-07-22T10:07:55.749670,106300,15574,4521,15574,2978,15574,381,15574,5,15574,4,18053,5,1.028512500000943
3,0,,2026-07-22T10:07:56.779145,106437,15293,4427,15293,2927,15293,377,15293,10,15293,2,18100,6,1.0291202000007615
3,0,,2026-07-22T10:07:57.808904,105866,15492,4526,15492,2921,15492,352,15492,5,15492,2,18104,10,1.0293662999974913
3,0,,2026-07-22T10:07:58.836503,105737,15339,4427,15339,2869,15339,356,15339,7,15339,11,18106,6,1.0272655000007944
