N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-22T19:25:04.934792,105875,12614,4002,12614,1251,12614,787,12614,111,12614,2,20409,10,1.028352499997709
3,0,,2026-07-22T19:25:05.964122,107041,12860,4135,12860,1375,12860,765,12860,123,12860,1,20515,9,1.0288622999942163
3,0,,2026-07-22T19:25:06.990589,107034,12742,4135,12742,1287,12742,739,12742,123,12742,4,20738,3,1.0260347000003094
3,0,,2026-07-22T19:25:08.018809,105832,12713,4066,12713,1333,12713,718,12713,119,12713,8,20639,8,1.0280674000096042
3,0,,2026-07-22T19:25:09.047457,106226,12783,4138,12783,1281,12783,760,12783,110,12783,4,20883,6,1.0282433000102174
3,0,,2026-07-22T19:25:10.075880,106948,12779,4131,12779,1343,12779,770,12779,121,12779,7,20628,7,1.028044000006048
3,0,,2026-07-22T19:25:11.104159,106517,12573,4056,12573,1316,12573,774,12573,109,12573,1,20727,11,1.0279543999931775
3,0,,2026-07-22T19:25:12.132839,106828,12778,4108,12778,1391,12778,706,12778,116,12778,2,20592,6,1.0283570000028703
3,0,,2026-07-22T19:25:13.161313,106599,12700,4077,12700,1351,12700,778,12700,112,12700,4,20782,14,1.0281810000014957
3,0,,2026-07-22T19:25:14.189948,106843,12898,4135,12898,1418,12898,770,12898,110,12898,2,20601,6,1.028214799996931
3,0,,2026-07-22T19:25:15.217210,106831,12927,4069,12927,1350,12927,766,12927,125,12927,4,20629,13,1.0269048000045586
3,0,,2026-07-22T19:25:16.245821,106215,12838,4139,12838,1301,12838,762,12838,122,12838,2,20574,10,1.0282851999945706
3,0,,2026-07-22T19:25:17.274861,106277,12824,4157,12824,1328,12824,794,12824,109,12824,0,20792,12,1.0287091999925906
3,0,,2026-07-22T19:25:18.302973,105719,12656,4085,12656,1273,12657,788,12657,119,12657,2,20407,8,1.0278135999978986
3,0,,2026-07-22T19:25:19.331614,106712,12915,4082,12915,1337,12914,773,12914,116,12914,1,21049,8,1.0283562000113307
3,0,,2026-07-22T19:25:20.360610,106561,12859,4173,12859,1354,12859,773,12859,119,12859,0,20464,10,1.0287398999935249
3,0,,2026-07-22T19:25:21.388300,106691,12765,4075,12765,1392,12765,729,12765,104,12765,2,21055,7,1.0274228999915067
3,0,,2026-07-22T19:25:22.416067,106259,12744,4210,12744,1272,12744,754,12744,123,12744,5,20778,11,1.0274927999998908
3,0,,2026-07-22T19:25:23.446151,106177,12614,4054,12614,1292,12614,775,12614,125,12614,4,20647,11,1.0297759000095539
3,0,,2026-07-22T19:25:24.477205,107007,13032,4163,13032,1385,13032,818,13032,121,13032,2,20781,7,1.030677899994771
3,0,,2026-07-22T19:25:25.506230,107058,12721,4076,12721,1353,12721,769,12721,118,12721,3,20761,7,1.0284814000042388
3,0,,2026-07-22T19:25:26.533482,105886,12672,3979,12672,1302,12672,799,12672,118,12672,3,20704,13,1.0269187999947462
3,0,,2026-07-22T19:25:27.560781,105887,12714,4011,12714,1328,12714,740,12714,116,12714,2,20538,11,1.027059600004577
3,0,,2026-07-22T19:25:28.589965,105803,12630,4132,12630,1361,12630,763,12630,99,12630,1,20804,8,1.0288652000017464
3,0,,2026-07-22T19:25:29.619108,106682,12884,4151,12884,1343,12884,806,12884,125,12884,4,20815,8,1.0288403000013204
3,0,,2026-07-22T19:25:30.647605,106382,12816,4128,12816,1320,12816,753,12816,127,12816,1,20673,11,1.0281190999958199
3,0,,2026-07-22T19:25:31.676512,106027,12885,4142,12885,1326,12885,753,12885,102,12885,5,20786,9,1.0285876999987522
3,0,,2026-07-22T19:25:32.705580,106191,12558,4084,12558,1334,12558,747,12558,115,12558,2,20626,6,1.0287098000117112
3,0,,2026-07-22T19:25:33.734538,106527,12814,4039,12814,1279,12814,789,12814,122,12814,3,20810,11,1.0286323000036646
3,0,,2026-07-22T19:25:34.763481,106170,12774,4077,12774,1380,12774,791,12774,132,12774,3,20785,3,1.0286468999984208
3,0,,2026-07-22T19:25:35.792543,106748,12899,4148,12899,1384,12899,756,12899,127,12899,4,20933,7,1.028674700006377
3,0,,2026-07-22T19:25:36.821511,105934,12653,4057,12653,1298,12653,750,12653,117,12653,6,20870,8,1.0285614999884274
3,0,,2026-07-22T19:25:37.849148,106566,12766,4040,12766,1373,12766,798,12766,118,12766,2,20805,9,1.0274219999992056
3,0,,2026-07-22T19:25:38.876748,106423,12686,4000,12686,1382,12686,741,12686,112,12686,1,20602,6,1.0272849000029964
3,0,,2026-07-22T19:25:39.905878,106149,12806,4090,12806,1350,12806,784,12806,114,12806,7,20704,7,1.0288279999949737
3,0,,2026-07-22T19:25:40.935564,107109,12761,4020,12761,1317,12761,773,12761,114,12761,2,20727,9,1.0293740999914007
3,0,,2026-07-22T19:25:41.963982,106456,12834,4118,12834,1298,12834,796,12834,119,12834,5,20814,7,1.0280580000107875
3,0,,2026-07-22T19:25:42.993187,106469,12795,4130,12795,1297,12795,753,12795,111,12795,4,20735,10,1.028892200003611
3,0,,2026-07-22T19:25:44.022452,105873,12744,4040,12744,1310,12744,745,12744,123,12744,7,20682,12,1.0289324999903329
3,0,,2026-07-22T19:25:45.050291,106724,12992,4142,12992,1325,12992,790,12992,133,12992,1,20741,7,1.027505599995493
3,0,,2026-07-22T19:25:46.079540,106648,12842,4125,12842,1294,12842,737,12842,114,12842,2,20650,16,1.0289377000008244
3,0,,2026-07-22T19:25:47.108448,107074,12795,4085,12795,1339,12795,763,12795,118,12795,8,20704,6,1.0285131999989972
