N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch10,coinc_ch10,singles_ch7,coinc_ch7,int_time
5,0,,2026-07-30T12:23:47.953408,106767,3854,1040,3854,556,3854,208,3854,46,3854,2,9308,9,1.0280554000055417
5,0,,2026-07-30T12:23:48.982524,106541,3839,1070,3839,537,3839,210,3839,41,3839,0,9302,6,1.0287810000008903
5,0,,2026-07-30T12:23:50.023899,108488,3907,1050,3907,548,3907,235,3907,45,3907,1,9615,6,1.0409998999966774
5,0,,2026-07-30T12:23:51.053792,107096,3780,1055,3780,553,3780,194,3780,44,3780,1,9489,4,1.0291012999950908
5,0,,2026-07-30T12:23:52.082663,106757,3848,1027,3848,515,3848,233,3848,39,3848,2,9500,3,1.0284774999890942
5,0,,2026-07-30T12:23:53.112167,106857,3819,1021,3819,518,3819,228,3819,33,3819,2,9555,6,1.0292343999899458
