N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-19T15:09:31.335500,3130266,441907,134584,441906,80527,441906,9377,441906,461,524332,207,1.00062293703125
3,1,,2026-07-19T15:10:20.737001,3127518,648224,303103,648224,58263,648224,5051,648224,216,521025,201,1.0003388964062503
3,2,,2026-07-19T15:10:55.725020,3125986,738236,392409,738234,34254,738234,3705,738234,628,521562,191,1.0003007671875004
3,3,,2026-07-19T15:11:41.584724,3133934,718505,407126,718504,6302,718504,5904,718504,1605,520816,174,1.0006713587500005
