N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch7,coinc_ch7,int_time
3,0,,2026-07-29T17:42:53.137643,99547,7371,1961,7371,1138,7371,31,10,0,1.0288326000154484
3,0,,2026-07-29T17:42:54.167893,99292,7438,1994,7438,1163,7438,30,12,0,1.029826600017259
3,0,,2026-07-29T17:42:55.196644,99552,7255,1954,7255,1107,7255,32,8,0,1.0283904000243638
3,0,,2026-07-29T17:42:56.226112,99301,7410,1967,7410,1153,7410,28,12,0,1.0292599000094924
3,0,,2026-07-29T17:42:57.254960,99386,7351,1956,7351,1128,7351,24,11,0,1.0283821999910288
3,0,,2026-07-29T17:42:58.284366,99765,7437,1895,7437,1104,7437,43,9,0,1.0290989000059199
3,0,,2026-07-29T17:42:59.314756,98485,7374,1899,7374,1172,7374,38,17,0,1.0300272000022233
3,0,,2026-07-29T17:43:00.344309,99537,7328,2021,7328,1105,7328,31,8,0,1.0291264999832492
3,0,,2026-07-29T17:43:01.372274,99264,7150,1915,7150,1104,7150,35,8,0,1.0275350000010803
3,0,,2026-07-29T17:43:02.400170,99422,7364,1957,7364,1169,7364,27,13,0,1.0272266000101808
3,0,,2026-07-29T17:43:03.429808,99150,7282,1984,7282,1071,7282,27,16,0,1.0293584000028204
3,0,,2026-07-29T17:43:04.459515,100179,7415,2025,7415,1127,7415,27,8,0,1.0293714000144973
3,0,,2026-07-29T17:43:05.498819,100838,7509,1997,7509,1112,7509,30,9,0,1.0388398000213783
3,0,,2026-07-29T17:43:06.527650,98862,7306,1954,7306,1084,7306,34,14,0,1.0285695999918971
3,0,,2026-07-29T17:43:07.556452,99954,7360,1911,7360,1174,7360,39,8,0,1.0284655000141356
3,0,,2026-07-29T17:43:08.585150,98977,7393,1955,7393,1066,7393,36,14,0,1.028312399983406
3,0,,2026-07-29T17:43:09.615428,99403,7402,1955,7402,1125,7402,30,13,0,1.0299023000115994
3,0,,2026-07-29T17:43:10.645291,99328,7359,1854,7359,1173,7359,26,11,0,1.0292410000110976
3,0,,2026-07-29T17:43:11.677019,100019,7310,2000,7310,1169,7310,33,14,0,1.0313999000063632
3,0,,2026-07-29T17:43:12.708640,99685,7367,1993,7367,1145,7367,24,16,0,1.0310743000009097
3,0,,2026-07-29T17:43:13.744109,100233,7440,1971,7440,1180,7440,34,14,0,1.0348852000024635
3,0,,2026-07-29T17:43:14.774323,99508,7279,1893,7279,1124,7279,23,6,0,1.0296356999897398
3,0,,2026-07-29T17:43:15.805090,99413,7310,1938,7310,1120,7310,25,6,0,1.030338499986101
3,0,,2026-07-29T17:43:16.835207,99704,7642,1987,7642,1117,7642,129,19,0,1.0296990999777336
3,0,,2026-07-29T17:43:17.865801,99765,7457,1994,7457,1087,7457,122,16,0,1.0298812999972142
3,0,,2026-07-29T17:43:18.893461,100032,7404,1938,7404,1133,7404,155,20,0,1.0272586999926716
3,0,,2026-07-29T17:43:19.921883,99813,7457,1911,7457,1154,7457,153,14,0,1.0281613999977708
3,0,,2026-07-29T17:43:20.950145,99821,7439,1922,7439,1090,7439,140,20,0,1.0279309999896213
3,0,,2026-07-29T17:43:21.979187,98967,7407,1971,7407,1133,7407,150,13,0,1.0286982000106946
3,0,,2026-07-29T17:43:23.008721,99837,7332,1934,7332,1106,7332,149,11,0,1.0293239999737125
3,0,,2026-07-29T17:43:24.042011,99908,7561,1930,7561,1098,7561,178,14,0,1.0328314999933355
3,0,,2026-07-29T17:43:25.070099,99098,7563,1924,7563,1162,7563,154,8,0,1.0278579000150785
3,0,,2026-07-29T17:43:26.100658,99842,7500,1953,7500,1147,7500,142,12,0,1.030188199976692
3,0,,2026-07-29T17:43:27.129778,100002,7540,1940,7540,1132,7540,143,12,0,1.0287627999787219
3,0,,2026-07-29T17:43:28.160276,100048,7428,1917,7428,1111,7428,139,19,0,1.0299534000223503
3,0,,2026-07-29T17:43:29.189074,99296,7227,1844,7227,1091,7227,149,18,0,1.0283121000102255
3,0,,2026-07-29T17:43:30.217738,99184,7439,1968,7439,1104,7439,160,10,0,1.0283346999785863
3,0,,2026-07-29T17:43:31.247907,100110,7698,1993,7698,1147,7698,160,15,0,1.029873999999836
3,0,,2026-07-29T17:43:32.275801,99526,7560,2005,7560,1119,7560,145,8,0,1.0275427000015043
3,0,,2026-07-29T17:43:33.304362,99607,7655,2024,7655,1141,7655,170,8,0,1.0282546000089496
3,0,,2026-07-29T17:43:34.333941,99201,7631,1967,7631,1150,7631,157,16,0,1.0290857999934815
3,0,,2026-07-29T17:43:35.363399,99396,7553,1968,7554,1128,7554,173,18,0,1.028951499989489
3,0,,2026-07-29T17:43:36.392888,99505,7529,1998,7528,1116,7528,167,10,0,1.0290833999752067
3,0,,2026-07-29T17:43:37.423313,99380,7474,1943,7474,1074,7474,160,8,0,1.029946499998914
3,0,,2026-07-29T17:43:38.452125,100002,7573,1980,7573,1112,7573,147,8,0,1.0283989000017755
3,0,,2026-07-29T17:43:39.481446,99187,7423,1924,7423,1096,7423,174,15,0,1.0290191000094637
3,0,,2026-07-29T17:43:40.511660,100149,7517,1996,7517,1061,7517,152,12,0,1.0297716000059154
3,0,,2026-07-29T17:43:41.541706,99657,7562,1960,7562,1165,7562,157,8,0,1.0294668999849819
3,0,,2026-07-29T17:43:42.571452,99372,7494,1936,7494,1130,7494,158,12,0,1.029096699989168
3,0,,2026-07-29T17:43:43.601079,99405,7542,1911,7542,1124,7542,190,14,0,1.0291743999987375
3,0,,2026-07-29T17:43:44.630548,100144,7622,2019,7622,1173,7622,147,6,0,1.0289117000065744
3,0,,2026-07-29T17:43:45.658095,100160,7542,1955,7542,1191,7542,170,15,0,1.0271557999949437
3,0,,2026-07-29T17:43:46.687636,99512,7573,1956,7573,1129,7573,172,11,0,1.0292797000147402
3,0,,2026-07-29T17:43:47.715383,99144,7627,1970,7627,1071,7627,162,12,0,1.0273287000018172
3,0,,2026-07-29T17:43:48.744247,99625,7521,1934,7521,1095,7521,149,10,0,1.028434500010917
3,0,,2026-07-29T17:43:49.772824,99178,7420,1924,7420,1082,7420,184,11,0,1.0283105999988038
3,0,,2026-07-29T17:43:50.801989,99614,7546,1909,7546,1118,7546,176,7,0,1.0288717999937944
3,0,,2026-07-29T17:43:51.828748,99956,7380,1932,7380,1113,7380,154,5,0,1.026437699998496
3,0,,2026-07-29T17:43:52.855481,99959,7680,2028,7680,1143,7680,183,12,0,1.0263032000220846
3,0,,2026-07-29T17:43:53.882455,99036,7443,1940,7443,1103,7443,144,16,0,1.0267775999964215
3,0,,2026-07-29T17:43:54.910686,99209,7575,1917,7575,1086,7575,162,18,0,1.0279167999979109
3,0,,2026-07-29T17:43:55.939586,99262,7532,1924,7532,1137,7532,152,13,0,1.0286278999992646
3,0,,2026-07-29T17:43:56.967318,99205,7633,2039,7633,1112,7633,146,8,0,1.0274303999904078
3,0,,2026-07-29T17:43:57.995673,99703,7544,2006,7544,1119,7544,156,14,0,1.0280754000123125
3,0,,2026-07-29T17:43:59.024398,99839,7542,1953,7542,1098,7542,147,11,0,1.0283123000117484
3,0,,2026-07-29T17:44:00.053196,99356,7556,1943,7556,1145,7556,163,8,0,1.0283797000010964
3,0,,2026-07-29T17:44:01.081442,99790,7558,2016,7558,1067,7558,159,9,0,1.0278183000045829
3,0,,2026-07-29T17:44:02.109703,98852,7476,1984,7476,1129,7476,161,15,0,1.0279712000046857
3,0,,2026-07-29T17:44:03.138994,99176,7411,1908,7411,1102,7411,175,12,0,1.0288178000191692
3,0,,2026-07-29T17:44:04.165800,99773,7608,2013,7608,1196,7608,155,12,0,1.0265349999826867
3,0,,2026-07-29T17:44:05.194501,99004,7281,1890,7281,1035,7281,137,10,0,1.0284246999945026
3,0,,2026-07-29T17:44:06.223094,99597,7469,1993,7469,1082,7469,167,14,0,1.0281862999836449
3,0,,2026-07-29T17:44:07.251329,99722,7497,1966,7497,1126,7497,154,15,0,1.0278184000053443
3,0,,2026-07-29T17:44:08.278061,99979,7579,1945,7579,1156,7579,148,9,0,1.0264404999907129
3,0,,2026-07-29T17:44:09.305727,99636,7469,1931,7469,1172,7469,146,13,0,1.0274767999944743
3,0,,2026-07-29T17:44:10.333391,98756,7473,1938,7473,1153,7473,151,15,0,1.0272738999919966
3,0,,2026-07-29T17:44:11.361086,99356,7533,1926,7533,1169,7533,161,10,0,1.0274859000055585
3,0,,2026-07-29T17:44:12.388943,98788,7537,1953,7537,1137,7537,159,8,0,1.0276606999977957
3,0,,2026-07-29T17:44:13.418100,99645,7627,1961,7627,1081,7627,137,6,0,1.0287659000023268
3,0,,2026-07-29T17:44:14.446526,99886,7600,1940,7600,1099,7600,146,18,0,1.0281115999969188
3,0,,2026-07-29T17:44:15.475281,99272,7512,2011,7512,1136,7512,146,14,0,1.0284175999986473
3,0,,2026-07-29T17:44:16.503654,99868,7509,1921,7509,1119,7509,155,10,0,1.0280481000081636
3,0,,2026-07-29T17:44:17.531367,99638,7474,1945,7474,1120,7474,150,12,0,1.0273277000233065
3,0,,2026-07-29T17:44:18.558532,99152,7384,1933,7384,1063,7384,162,18,0,1.0267606000124943
3,0,,2026-07-29T17:44:19.586021,99063,7492,1887,7492,1139,7492,153,15,0,1.0272852999914903
3,0,,2026-07-29T17:44:20.615056,99403,7499,1920,7499,1134,7499,157,11,0,1.0286015000019688
3,0,,2026-07-29T17:44:21.643303,98992,7513,1959,7513,1042,7513,186,17,0,1.027990000002319
3,0,,2026-07-29T17:44:22.672373,99388,7596,2032,7596,1110,7596,145,13,0,1.028417100023944
3,0,,2026-07-29T17:44:23.701756,100167,7578,1905,7578,1134,7578,163,11,0,1.0289559999946505
3,0,,2026-07-29T17:44:24.731942,99541,7381,1941,7381,1131,7381,163,8,0,1.0298402000044007
3,0,,2026-07-29T17:44:25.760830,99483,7608,2068,7608,1133,7608,149,21,0,1.0283727999776602
3,0,,2026-07-29T17:44:26.790844,99375,7451,1984,7451,1127,7451,154,12,0,1.0294929000083357
3,0,,2026-07-29T17:44:27.820912,99806,7668,2078,7668,1040,7668,143,9,0,1.0296549999911804
3,0,,2026-07-29T17:44:28.850127,99943,7759,2034,7759,1165,7759,162,18,0,1.0287814000039361
3,0,,2026-07-29T17:44:29.879941,99607,7447,1899,7447,1123,7447,155,15,0,1.0292820000031497
3,0,,2026-07-29T17:44:30.910222,99752,7627,2052,7627,1100,7627,148,13,0,1.0298262999858707
3,0,,2026-07-29T17:44:31.939967,100235,7568,2013,7568,1094,7568,153,13,0,1.0293251000111923
3,0,,2026-07-29T17:44:32.968386,99145,7437,1965,7437,1098,7437,123,11,0,1.0278727000113577
3,0,,2026-07-29T17:44:33.995991,99593,7625,2015,7625,1126,7625,147,12,0,1.0272731000150088
3,0,,2026-07-29T17:44:35.025397,99757,7566,1966,7566,1124,7566,145,8,0,1.029162399994675
3,0,,2026-07-29T17:44:36.054393,99634,7507,1911,7507,1088,7507,170,18,0,1.0285705999995116
3,0,,2026-07-29T17:44:37.084078,99788,7597,2001,7597,1128,7597,158,9,0,1.0294526000216138
3,0,,2026-07-29T17:44:38.113260,99634,7408,1817,7408,1093,7408,155,10,0,1.028702700015856
3,0,,2026-07-29T17:44:39.143874,99567,7484,1956,7484,1166,7484,166,10,0,1.0302250000240747
3,0,,2026-07-29T17:44:40.172861,99816,7577,1985,7577,1143,7577,173,12,0,1.0284765999822412
3,0,,2026-07-29T17:44:41.200285,99208,7579,1970,7579,1101,7579,175,16,0,1.0270513000141364
3,0,,2026-07-29T17:44:42.229038,98985,7533,1937,7533,1146,7533,141,10,0,1.028438900015317
3,0,,2026-07-29T17:44:43.256107,99845,7716,1956,7716,1073,7716,161,15,0,1.0267498999892268
3,0,,2026-07-29T17:44:44.285339,99686,7543,1998,7543,1066,7543,146,12,0,1.0288300999964122
3,0,,2026-07-29T17:44:45.313113,99311,7406,1921,7406,1066,7406,162,9,0,1.0272511999937706
3,0,,2026-07-29T17:44:46.347682,99654,7605,2028,7605,1119,7605,161,13,0,1.0342830999870785
3,0,,2026-07-29T17:44:47.376553,100095,7489,1938,7489,1092,7489,161,8,0,1.0283935999905225
3,0,,2026-07-29T17:44:48.404921,99145,7575,1943,7575,1093,7575,164,14,0,1.0280351999972481
3,0,,2026-07-29T17:44:49.432104,99337,7597,2009,7597,1160,7597,140,11,0,1.0266858999966644
3,0,,2026-07-29T17:44:50.458629,99262,7723,2086,7723,1107,7723,157,11,0,1.026297300006263
3,0,,2026-07-29T17:44:51.488546,99043,7372,1909,7372,1091,7372,142,9,0,1.0295141999959014
3,0,,2026-07-29T17:44:52.515848,99816,7601,2005,7601,1105,7601,158,11,0,1.0270705000148155
3,1,,2026-07-29T17:45:11.232432,99612,9730,3854,9730,657,9730,19,8,0,1.0280373000132386
3,1,,2026-07-29T17:45:12.261248,99159,9574,3709,9574,660,9574,18,12,0,1.0283206999883987
3,1,,2026-07-29T17:45:13.290834,99486,9642,3719,9642,638,9642,27,16,0,1.0292063000088092
3,1,,2026-07-29T17:45:14.320649,99937,9556,3717,9556,652,9556,20,24,0,1.0292529999860562
3,1,,2026-07-29T17:45:15.350581,99464,9579,3822,9579,671,9579,27,13,0,1.0293307999963872
3,1,,2026-07-29T17:45:16.380446,99323,9683,3822,9683,688,9683,26,10,0,1.0295471999852452
3,1,,2026-07-29T17:45:17.410043,99596,9458,3796,9458,621,9458,30,13,0,1.0291270000161603
3,1,,2026-07-29T17:45:18.438261,99504,9565,3717,9565,679,9565,29,10,0,1.0275407999870367
3,1,,2026-07-29T17:45:19.467185,99562,9729,3798,9729,712,9729,23,7,0,1.0286015999736264
3,1,,2026-07-29T17:45:20.495162,99905,9563,3739,9563,619,9563,21,12,0,1.0272572000103537
3,1,,2026-07-29T17:45:21.526088,98785,9473,3732,9473,682,9473,18,15,0,1.030659400013974
3,1,,2026-07-29T17:45:22.554815,99551,9831,3862,9831,672,9831,17,8,0,1.0281991999945603
3,1,,2026-07-29T17:45:23.584442,99623,9456,3604,9456,643,9456,17,11,0,1.0290015999926254
3,1,,2026-07-29T17:45:24.614328,99508,9501,3746,9501,659,9501,23,13,0,1.0294695000047795
3,1,,2026-07-29T17:45:25.641744,99033,9534,3691,9534,635,9534,15,9,0,1.026866300002439
3,1,,2026-07-29T17:45:26.670739,99129,9413,3600,9413,677,9413,22,8,0,1.0285832000081427
3,1,,2026-07-29T17:45:27.700257,99533,9434,3729,9434,680,9434,19,13,0,1.0291728999873158
3,1,,2026-07-29T17:45:28.729280,100101,9605,3873,9605,651,9605,28,15,0,1.0285303999844473
3,1,,2026-07-29T17:45:29.759100,99560,9678,3771,9678,659,9678,21,10,0,1.0293868000153452
3,1,,2026-07-29T17:45:30.789492,99659,9668,3792,9668,655,9668,21,10,0,1.0300563999917358
3,1,,2026-07-29T17:45:31.818044,99614,9458,3629,9458,631,9458,19,13,0,1.0280549999733921
3,1,,2026-07-29T17:45:32.846147,99555,9699,3783,9699,717,9699,24,9,0,1.0273836999840569
3,1,,2026-07-29T17:45:33.874634,100003,9571,3792,9571,693,9571,22,16,0,1.0282001000014134
3,1,,2026-07-29T17:45:34.903509,99447,9516,3678,9516,652,9516,26,16,0,1.0284871000039857
3,1,,2026-07-29T17:45:35.931807,99581,9501,3755,9501,679,9501,14,19,0,1.0277779000170995
3,1,,2026-07-29T17:45:36.961852,99756,9591,3718,9591,655,9591,20,12,0,1.0295323000173084
3,1,,2026-07-29T17:45:37.991089,99321,9459,3574,9459,692,9459,22,13,0,1.0288921000028495
3,1,,2026-07-29T17:45:39.020914,99488,9566,3749,9566,610,9566,18,11,0,1.029453499999363
3,1,,2026-07-29T17:45:40.050608,100103,9487,3747,9487,666,9487,22,11,0,1.029222099983599
3,1,,2026-07-29T17:45:41.079304,99824,9697,3726,9697,667,9697,27,11,0,1.0284666999941692
3,1,,2026-07-29T17:45:42.108338,99717,9651,3762,9651,647,9651,35,13,0,1.0288291999895591
3,1,,2026-07-29T17:45:43.137891,99493,9580,3733,9580,646,9580,22,12,0,1.0290958999830764
3,1,,2026-07-29T17:45:44.167102,99537,9599,3703,9599,660,9599,24,18,0,1.0288349999755155
3,1,,2026-07-29T17:45:45.197104,99927,9573,3770,9573,635,9573,18,10,0,1.0296278999885544
3,1,,2026-07-29T17:45:46.225270,99923,9604,3831,9604,588,9604,24,12,0,1.027730200003134
3,1,,2026-07-29T17:45:47.252503,99922,9562,3771,9562,631,9562,18,22,0,1.027072800003225
3,1,,2026-07-29T17:45:48.280349,99154,9631,3689,9631,685,9631,38,10,0,1.027353999990737
3,1,,2026-07-29T17:45:49.308824,99049,9548,3744,9548,675,9548,16,7,0,1.028063600009773
3,1,,2026-07-29T17:45:50.337247,99901,9479,3652,9479,677,9479,21,12,0,1.0278955999820028
3,1,,2026-07-29T17:45:51.368379,99329,9410,3654,9410,641,9410,30,9,0,1.0306710999866482
3,1,,2026-07-29T17:45:52.397636,99461,9534,3714,9534,658,9534,27,8,0,1.0288002000015695
3,1,,2026-07-29T17:45:53.426912,99784,9629,3814,9629,713,9629,16,14,0,1.0288622999796644
3,1,,2026-07-29T17:45:54.455558,99461,9585,3760,9585,632,9585,20,14,0,1.0283439999911934
3,1,,2026-07-29T17:45:55.486078,99196,9632,3819,9632,707,9632,19,10,0,1.0302348000113852
3,1,,2026-07-29T17:45:56.515971,99788,9631,3678,9631,669,9631,23,7,0,1.0294750000175554
3,1,,2026-07-29T17:45:57.545282,99221,9707,3822,9707,655,9707,25,10,0,1.0289659000118263
3,1,,2026-07-29T17:45:58.576418,99453,9637,3816,9637,681,9637,27,15,0,1.0305534999934025
3,1,,2026-07-29T17:45:59.606320,99761,9533,3678,9533,671,9533,16,9,0,1.0293743000074755
3,1,,2026-07-29T17:46:00.635193,99659,9524,3684,9524,666,9524,21,15,0,1.028558799996972
3,1,,2026-07-29T17:46:01.664379,99949,9561,3755,9561,667,9561,19,12,0,1.0288313000055496
