N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-29T20:57:23.424272,107775,4454,1358,4454,892,4454,258,4454,41,9035,1,1.029270799976075
4,0,,2026-07-29T20:57:24.453479,107863,4610,1418,4610,905,4610,259,4610,36,9143,0,1.028905000013765
4,0,,2026-07-29T20:57:25.483566,107824,4705,1392,4705,945,4705,279,4705,29,9141,1,1.029666399990674
4,0,,2026-07-29T20:57:26.511938,108378,4640,1446,4640,944,4640,274,4640,36,9182,1,1.0279765999875963
4,0,,2026-07-29T20:57:27.540884,108281,4736,1481,4736,939,4736,268,4736,26,9200,2,1.0285301000112668
4,0,,2026-07-29T20:57:28.572175,107625,4618,1385,4618,877,4618,284,4618,28,9100,1,1.0307360000151675
4,0,,2026-07-29T20:57:29.600837,108650,4685,1483,4685,896,4685,281,4685,25,9188,1,1.0283677999977954
4,0,,2026-07-29T20:57:30.629632,108244,4606,1442,4606,862,4606,265,4606,36,9306,0,1.0284869000024628
4,0,,2026-07-29T20:57:31.658684,108316,4751,1402,4751,1000,4751,280,4751,42,9056,2,1.0286221999849658
4,0,,2026-07-29T20:57:32.688370,107784,4637,1380,4637,978,4637,287,4637,38,9062,0,1.0292409000103362
4,0,,2026-07-29T20:57:33.717051,107931,4661,1467,4661,903,4661,290,4661,43,9234,0,1.0283677999977954
4,0,,2026-07-29T20:57:34.745895,108225,4748,1467,4748,946,4748,289,4748,41,9296,5,1.0284944000013638
4,0,,2026-07-29T20:57:35.774842,108683,4737,1429,4737,915,4737,271,4737,44,9249,2,1.0285326000011992
4,0,,2026-07-29T20:57:36.804908,107835,4658,1390,4658,960,4658,303,4658,24,9312,1,1.0294906999915838
4,0,,2026-07-29T20:57:37.834301,108065,4680,1440,4680,930,4680,280,4680,41,8993,2,1.0289207000168972
4,0,,2026-07-29T20:57:38.863893,108255,4768,1463,4768,964,4768,251,4768,50,9270,1,1.0290224000054877
4,0,,2026-07-29T20:57:39.893032,108627,4598,1386,4598,889,4598,279,4598,45,9110,1,1.0286577999941073
4,0,,2026-07-29T20:57:40.922665,107864,4543,1374,4543,905,4543,292,4543,33,9149,0,1.0292351999960374
4,0,,2026-07-29T20:57:41.950571,108282,4674,1375,4674,925,4674,301,4674,43,9265,1,1.0274465999973472
4,0,,2026-07-29T20:57:42.980153,107873,4816,1436,4816,966,4816,300,4816,33,9095,3,1.029223000019556
4,0,,2026-07-29T20:57:44.009974,108217,4589,1397,4589,913,4589,286,4589,37,9113,0,1.0291972999984864
4,0,,2026-07-29T20:57:45.039267,107881,4664,1434,4664,940,4664,288,4664,38,9026,2,1.0287386999989394
4,0,,2026-07-29T20:57:46.067039,108056,4628,1420,4628,902,4628,262,4628,36,9206,0,1.0274321000033524
4,0,,2026-07-29T20:57:47.096172,107649,4712,1477,4712,897,4712,307,4712,38,9178,1,1.0286971000023186
4,0,,2026-07-29T20:57:48.124987,108310,4677,1398,4677,912,4677,308,4677,40,9086,2,1.0284143000026233
4,0,,2026-07-29T20:57:49.154234,107521,4615,1386,4615,915,4615,291,4615,37,9119,2,1.0288331999909133
4,0,,2026-07-29T20:57:50.182119,108513,4692,1431,4692,948,4692,264,4692,35,9174,0,1.027531200001249
4,0,,2026-07-29T20:57:51.211665,108323,4599,1396,4599,915,4599,290,4599,31,9164,1,1.02923909999663
4,0,,2026-07-29T20:57:52.240932,108788,4586,1412,4586,928,4586,249,4586,32,9183,0,1.0290559999994002
4,0,,2026-07-29T20:57:53.272059,108518,4676,1379,4676,944,4676,299,4676,38,9103,4,1.0307701000128873
4,0,,2026-07-29T20:57:54.302240,108680,4598,1414,4598,912,4598,276,4598,21,9161,1,1.0299779000051785
4,0,,2026-07-29T20:57:55.332499,108464,4640,1382,4640,948,4640,267,4640,36,9433,4,1.0298117999918759
4,0,,2026-07-29T20:57:56.361213,108952,4734,1421,4734,951,4734,287,4734,37,9216,1,1.0283357999869622
4,0,,2026-07-29T20:57:57.390168,107946,4508,1366,4508,871,4508,281,4508,38,9267,1,1.028547600028105
4,0,,2026-07-29T20:57:58.418329,107986,4777,1469,4777,963,4777,269,4777,38,9106,1,1.027817199996207
4,0,,2026-07-29T20:57:59.447356,108232,4705,1460,4705,901,4705,278,4705,31,9110,1,1.0287116000254173
4,0,,2026-07-29T20:58:00.475741,108137,4619,1427,4619,913,4619,265,4619,36,9250,1,1.0280179000110365
4,0,,2026-07-29T20:58:01.505027,107839,4673,1414,4673,911,4673,314,4673,36,9138,6,1.0290657000150532
4,0,,2026-07-29T20:58:02.534703,108619,4695,1409,4695,999,4695,287,4695,37,9199,3,1.0293588000058662
4,0,,2026-07-29T20:58:03.565992,108514,4611,1400,4611,909,4611,257,4611,37,9239,0,1.0310637000075076
4,0,,2026-07-29T20:58:04.592947,108322,4701,1446,4701,926,4701,285,4701,34,9276,2,1.0265523999987636
4,0,,2026-07-29T20:58:05.621182,107389,4620,1307,4620,963,4620,286,4620,31,9168,3,1.0278698000183795
4,0,,2026-07-29T20:58:06.651489,108011,4581,1421,4581,903,4581,290,4581,32,9066,2,1.030145500000799
4,0,,2026-07-29T20:58:07.683224,108131,4618,1397,4618,918,4618,270,4618,44,9198,3,1.0312763999972958
4,0,,2026-07-29T20:58:08.714277,107487,4719,1428,4719,965,4719,248,4719,43,9272,2,1.030690500017954
4,0,,2026-07-29T20:58:09.742971,108371,4755,1485,4755,928,4755,275,4755,25,9136,1,1.0282857999845874
4,0,,2026-07-29T20:58:10.772554,108414,4696,1451,4696,964,4696,324,4696,35,9174,0,1.0291530000104103
4,0,,2026-07-29T20:58:11.800483,108009,4632,1359,4632,929,4632,268,4632,33,9244,3,1.0275494999950752
4,0,,2026-07-29T20:58:12.830424,108456,4659,1430,4659,920,4659,297,4659,37,9123,3,1.0295504999812692
4,0,,2026-07-29T20:58:13.859211,108463,4706,1494,4706,889,4706,302,4706,34,9225,3,1.0284054999938235
4,0,,2026-07-29T20:58:14.888639,107898,4630,1440,4630,957,4630,268,4630,42,9121,1,1.0289964999828953
4,0,,2026-07-29T20:58:15.919359,108538,4651,1435,4651,901,4651,275,4651,24,9304,4,1.0301343000028282
4,0,,2026-07-29T20:58:16.947845,108026,4591,1410,4591,915,4591,291,4591,43,9215,1,1.0280554000055417
4,0,,2026-07-29T20:58:17.977099,107621,4766,1464,4766,947,4766,292,4766,40,9046,2,1.0289290000218898
4,0,,2026-07-29T20:58:19.005964,107966,4684,1471,4684,946,4684,288,4684,33,9027,3,1.028502600005595
4,0,,2026-07-29T20:58:20.035406,108293,4660,1376,4660,949,4660,285,4660,40,9103,4,1.0289608000020962
4,0,,2026-07-29T20:58:21.062235,107884,4656,1439,4656,903,4656,322,4656,43,8965,2,1.026395599998068
4,0,,2026-07-29T20:58:22.089898,108227,4678,1383,4678,926,4678,285,4678,38,9187,0,1.027392999996664
4,0,,2026-07-29T20:58:23.118618,107885,4542,1414,4542,894,4542,271,4542,33,9117,3,1.028358700015815
4,0,,2026-07-29T20:58:24.147417,107842,4667,1383,4667,943,4667,282,4667,26,9073,1,1.0283824000216555
4,0,,2026-07-29T20:58:25.175553,108011,4747,1414,4747,965,4747,304,4747,39,9273,1,1.0276966999808792
4,0,,2026-07-29T20:58:26.203482,107946,4673,1455,4673,903,4673,277,4673,43,9129,1,1.0275552999810316
4,0,,2026-07-29T20:58:27.231777,108127,4659,1386,4659,982,4659,270,4659,42,9115,0,1.0279192999878433
4,0,,2026-07-29T20:58:28.260576,108409,4587,1385,4587,903,4587,291,4587,27,9125,1,1.0284236000152305
4,0,,2026-07-29T20:58:29.289075,108103,4616,1374,4616,910,4616,250,4616,42,9075,0,1.028065400023479
4,0,,2026-07-29T20:58:30.318887,108252,4624,1407,4624,897,4624,289,4624,32,9204,2,1.0292585999995936
4,0,,2026-07-29T20:58:31.347826,107420,4577,1349,4577,927,4577,277,4577,41,9228,0,1.0283526999992318
4,0,,2026-07-29T20:58:32.377254,108353,4561,1387,4561,898,4561,279,4561,32,9004,2,1.0289440000196919
4,0,,2026-07-29T20:58:33.405923,107903,4649,1453,4649,933,4649,270,4649,36,8998,2,1.0282989999977872
4,0,,2026-07-29T20:58:34.435926,107699,4585,1405,4585,870,4585,299,4585,38,9057,1,1.0296464999846648
4,0,,2026-07-29T20:58:35.465730,108048,4640,1397,4640,958,4640,265,4640,37,9194,1,1.029239499999676
4,0,,2026-07-29T20:58:36.493395,108189,4672,1381,4672,940,4672,285,4672,34,9094,1,1.0270493999996688
4,0,,2026-07-29T20:58:37.521254,108054,4670,1385,4670,918,4670,309,4670,34,9242,1,1.0275375999917742
4,0,,2026-07-29T20:58:38.549816,108186,4678,1423,4678,954,4678,268,4678,27,9065,4,1.02823329999228
4,0,,2026-07-29T20:58:39.576965,107106,4701,1426,4701,950,4701,274,4701,29,8991,1,1.0267791999795008
4,0,,2026-07-29T20:58:40.604476,107960,4697,1432,4697,981,4697,284,4697,40,9202,1,1.0272106000047643
4,0,,2026-07-29T20:58:41.632000,108558,4696,1480,4696,973,4696,276,4696,40,9153,0,1.0271860999928322
4,0,,2026-07-29T20:58:42.660578,108371,4582,1406,4582,916,4582,289,4582,29,9096,1,1.0283540000091307
4,0,,2026-07-29T20:58:43.688942,108123,4540,1405,4540,928,4540,277,4540,40,9237,3,1.0280212000070605
4,0,,2026-07-29T20:58:44.717291,108024,4556,1416,4556,908,4556,265,4556,32,9114,2,1.0277597999956924
4,0,,2026-07-29T20:58:45.745858,108380,4580,1374,4580,895,4580,319,4580,25,9116,1,1.0282663999823853
4,0,,2026-07-29T20:58:46.774701,107407,4767,1425,4767,943,4767,297,4767,36,9016,1,1.0285213000024669
4,0,,2026-07-29T20:58:47.804414,108243,4669,1449,4669,883,4669,261,4669,40,9015,1,1.0292820000031497
4,0,,2026-07-29T20:58:48.834168,108272,4646,1412,4646,913,4646,272,4646,40,9069,3,1.0292248000041582
4,0,,2026-07-29T20:58:49.864315,108380,4677,1430,4677,974,4677,258,4677,35,9023,1,1.0296118999831378
4,0,,2026-07-29T20:58:50.894150,108301,4752,1406,4752,930,4752,268,4752,30,9108,2,1.0293859000084922
4,0,,2026-07-29T20:58:51.923334,108201,4640,1435,4640,947,4640,269,4640,38,9114,2,1.0287973000085913
4,0,,2026-07-29T20:58:52.952972,108103,4635,1425,4635,935,4635,270,4635,20,9045,1,1.0291548000241164
4,0,,2026-07-29T20:58:53.982257,108236,4572,1407,4572,926,4572,288,4572,27,9170,1,1.0287509000045247
4,0,,2026-07-29T20:58:55.012205,108198,4662,1407,4662,941,4662,301,4662,40,9118,1,1.0294217999908142
4,0,,2026-07-29T20:58:56.041260,108653,4723,1431,4723,957,4723,284,4723,39,9124,1,1.0287055000080727
4,0,,2026-07-29T20:58:57.069253,107752,4649,1448,4649,979,4649,264,4649,33,9087,1,1.0274940000090282
4,0,,2026-07-29T20:58:58.098157,107963,4609,1393,4609,895,4609,290,4609,31,9148,0,1.0284823999973014
